commit	date	subject
4ab07fbddf33e9a0dc652833acd9edd519e21fea	2026-09-08T16:17:19+08:00	test(accounting): verify durable provider attempt persistence
44f4514a52a8539286ff3ddcf39b6cd0ad8b2888	2026-09-08T16:17:19+08:00	fix(web): keep token budget in SSE run snapshots
5e864ef792f06e4926e947a340910aece31a1332	2026-09-08T16:17:19+08:00	fix(observability): surface viewer source diagnostics
d7b376f487ee9d5c1f379cb81c8f87ab1e6e8a22	2026-09-07T19:18:40+08:00	feat(web): close lifecycle token accounting
5405986b0273d253624629f7019a8d68cf18b36e	2026-09-07T03:15:43+08:00	fix: preserve tool failure observations
acd7779088430609abb36959a137db44a02c0c1d	2026-09-06T20:18:51+08:00	Merge remote-tracking branch 'origin/feat/hpagent-web' into feat/hpagent-web
950a7ee1718e03e03a5bddd8a9559a11e60c6e32	2026-09-06T16:58:44+08:00	feat: add durable agent debug console
4cd2fc1537035d902aaeb922ed841e463affb306	2026-09-06T11:42:30+08:00	fix(tools): harden capability routing contracts
2f6e39f17d73a298f2f44321c01ba4d15536b75a	2026-09-06T08:20:13+08:00	refactor(tools): add capability-aware tool router
7d420954759227a1a1f1b0c6d0b39c0cfd76fa19	2026-09-06T01:46:12+08:00	fix(tools): invalidate vectors on definition changes
76cd4e4994f3536d87c1ca4461bd2859511583b6	2026-09-05T23:29:50+08:00	fix(context): inject current run file manifest
e79e816b97a169fd5ea99b5a8050ddc128e78759	2026-09-04T21:33:04+08:00	feat(file): complete durable web approval workflow
78bac1911e63991defc130146070b3d52fed3d1d	2026-09-04T15:20:51+08:00	feat(file): complete durable persistent overwrite runtime
5a90c538284fd23bc0bb0e044bd4be4bc87f293b	2026-09-04T14:07:05+08:00	feat(file): add durable approval wait workflow
baa69f126dfc3a4004c415983f1f3b38f84cf7f3	2026-09-04T13:34:57+08:00	feat(file): add persistent file approval foundation
cd7e0ae1791fa40fe8d21f8bc5d8415904938aea	2026-09-04T12:11:34+08:00	feat(research): publish reports as web attachments
