id,document_claim,code_fact,type,evidence,followup
D01,single_agent/03_component.md: 生产 single-agent loop 只有 DefaultBrainActionLoop.execute 一份,DurableWebRunWorkflow→AgentRunWorkflow→ReAct/Plan workflows→DurableAgentActivities 绕过 legacy Facade loop,ARCHITECTURE_DRIFT,docs/architecture/single_agent/03_component.md:37;src/orchestration/durable_web_workflow.py:132;src/agent_workflows/agent_run.py:29,需要更新设计事实范围
D02,single_agent/02_container.md 服务清单/拓扑,Compose 增加 searxng、gotenberg、hpagent-document-worker；f4-e2e-model 另为测试 profile，不能算默认生产业务,ARCHITECTURE_DRIFT,docs/architecture/single_agent/02_container.md:5;docker-compose.yaml:79;docker-compose.yaml:119;docker-compose.yaml:584,需补生产进程/外部依赖边界
D03,refactor-closure-report.md Legacy 表对整个 src/agent/ 的表述可被误读为全部非生产,Multi-Agent 编排仍被拒绝，但 protocol.py 是生产协议；包初始化还会加载实验类定义,ARCHITECTURE_DRIFT,docs/architecture/refactor-closure-report.md:22;src/brain/engine.py:14;src/agent/__init__.py:16,应限定为具体实验模块
D04,single_agent/04_sequence.md / closure report 的 Web 时序只展示 WebRunWorkflow/Host,仅覆盖 legacy 分支，未覆盖 durable child workflow、approval wait、fencing/data plane,ARCHITECTURE_DRIFT,docs/architecture/single_agent/04_sequence.md:1;docs/architecture/refactor-closure-report.md:42;src/agent_workflows/tool_execution.py:32,需区分两条时序
D05,ChannelsConfig 默认支持 console 的配置暗示,工厂缺 ConsoleChannel；YAML 当前用 napcat，缺省对象和 factory 不一致,ARCHITECTURE_DRIFT,src/orchestration/config.py:86;config/config.yaml:71;src/orchestration/worker.py:946,需确定未来配置合同
D06,web_activities.py docstring: Database-only Web lifecycle Activities,该模块还持有 execute_agent_activity 并调用注入的 WebExecutionHost,NAME_RESPONSIBILITY_DRIFT,src/orchestration/web_activities.py:1;src/orchestration/web_activities.py:120,名称/文档事实范围需评估
D07,session/store.py docstring: SessionStore 只被 Harness 使用,由 bootstrap/qq.py 构造并注入 TurnMemoryService；application/memory.py 使用其接口,ARCHITECTURE_DRIFT,src/session/store.py:24;src/bootstrap/qq.py:65;src/application/memory.py:1,源代码说明已落后于组合
D08,指导预调查中的 Document Worker 可能被理解为承载 NormalizeDocumentWorkflow,Workflow 注册在 lifecycle，独立 document worker 只注册 normalize_document Activity,指导种子修正,src/orchestration/web_workers.py:173;src/orchestration/document_worker.py:22,本轮已按代码修正，无需生产改动
D09,指导中的 Message/Research→Artifact Dispatcher 统一示意,Research 通过 publish_research_artifact SQL function 直接发布报告 Artifact；聊天版本 build 才走 dispatcher,指导种子修正,src/research_domain/persistence.py:526;src/web_artifacts/services.py:211,本轮已拆开
D10,配置 agents.yaml 注释：mode=multi 时生效,加载无 mode 条件，但装配拒绝 multi；读取配置不等于启用能力,NAME_RESPONSIBILITY_DRIFT,config/agents.yaml:5;src/orchestration/config.py:668;src/orchestration/worker.py:803,区分加载和启用
