item_id,path,symbol,kind,question,evidence,needed_evidence,evidence_status
U-F-001,src/__init__.py,,REACHABILITY,包初始化/重导出有静态引用；没有把模块加载等同业务调用。请结合依赖表检查导入副作用。,src/__init__.py:1,对应绑定/调用链、外部部署/历史或数据证据；不得由 import 数量推断,STRUCTURAL_ROLE_KNOWN_RUNTIME_NOT_ASSERTED
U-F-002,src/account/__init__.py,,REACHABILITY,包初始化/重导出有静态引用；没有把模块加载等同业务调用。请结合依赖表检查导入副作用。,src/account/__init__.py:1,对应绑定/调用链、外部部署/历史或数据证据；不得由 import 数量推断,STRUCTURAL_ROLE_KNOWN_RUNTIME_NOT_ASSERTED
U-F-003,src/account/account_service.py,,REACHABILITY,当前证据图未证明入口→具体调用/注册的完整链；可能是协议、未解析 DI/回调或历史/外部入口，不能判为无用。,src/account/account_service.py:1,对应绑定/调用链、外部部署/历史或数据证据；不得由 import 数量推断,OPEN
U-F-004,src/account/models.py,,REACHABILITY,当前证据图未证明入口→具体调用/注册的完整链；可能是协议、未解析 DI/回调或历史/外部入口，不能判为无用。,src/account/__init__.py:3;src/account/account_service.py:16,对应绑定/调用链、外部部署/历史或数据证据；不得由 import 数量推断,OPEN
U-F-005,src/actions/__init__.py,,REACHABILITY,包初始化/重导出有静态引用；没有把模块加载等同业务调用。请结合依赖表检查导入副作用。,src/actions/__init__.py:1,对应绑定/调用链、外部部署/历史或数据证据；不得由 import 数量推断,STRUCTURAL_ROLE_KNOWN_RUNTIME_NOT_ASSERTED
U-F-006,src/agent/__init__.py,,REACHABILITY,包初始化/重导出有静态引用；没有把模块加载等同业务调用。请结合依赖表检查导入副作用。,src/agent/__init__.py:1,对应绑定/调用链、外部部署/历史或数据证据；不得由 import 数量推断,STRUCTURAL_ROLE_KNOWN_RUNTIME_NOT_ASSERTED
U-F-007,src/agent_activities/__init__.py,,REACHABILITY,包初始化/重导出有静态引用；没有把模块加载等同业务调用。请结合依赖表检查导入副作用。,src/agent_activities/__init__.py:1,对应绑定/调用链、外部部署/历史或数据证据；不得由 import 数量推断,STRUCTURAL_ROLE_KNOWN_RUNTIME_NOT_ASSERTED
U-F-008,src/agent_execution/__init__.py,,REACHABILITY,包初始化/重导出有静态引用；没有把模块加载等同业务调用。请结合依赖表检查导入副作用。,src/agent_execution/__init__.py:1,对应绑定/调用链、外部部署/历史或数据证据；不得由 import 数量推断,STRUCTURAL_ROLE_KNOWN_RUNTIME_NOT_ASSERTED
U-F-009,src/agent_execution/tracing/__init__.py,,REACHABILITY,包初始化/重导出有静态引用；没有把模块加载等同业务调用。请结合依赖表检查导入副作用。,src/agent_activities/runtime.py:22;src/agent_execution/brain_action_loop.py:12;src/agent_execution/web_host.py:10;src/orchestration/web_activities.py:15;src/orchestration/worker.py:120;test/test_trace_events.py:13,对应绑定/调用链、外部部署/历史或数据证据；不得由 import 数量推断,STRUCTURAL_ROLE_KNOWN_RUNTIME_NOT_ASSERTED
U-F-010,src/agent_workflows/__init__.py,,REACHABILITY,包初始化/重导出有静态引用；没有把模块加载等同业务调用。请结合依赖表检查导入副作用。,src/agent_workflows/__init__.py:1,对应绑定/调用链、外部部署/历史或数据证据；不得由 import 数量推断,STRUCTURAL_ROLE_KNOWN_RUNTIME_NOT_ASSERTED
U-F-011,src/application/__init__.py,,REACHABILITY,包初始化/重导出有静态引用；没有把模块加载等同业务调用。请结合依赖表检查导入副作用。,src/application/__init__.py:1,对应绑定/调用链、外部部署/历史或数据证据；不得由 import 数量推断,STRUCTURAL_ROLE_KNOWN_RUNTIME_NOT_ASSERTED
U-F-012,src/bootstrap/__init__.py,,REACHABILITY,包初始化/重导出有静态引用；没有把模块加载等同业务调用。请结合依赖表检查导入副作用。,src/bootstrap/__init__.py:1,对应绑定/调用链、外部部署/历史或数据证据；不得由 import 数量推断,STRUCTURAL_ROLE_KNOWN_RUNTIME_NOT_ASSERTED
U-F-013,src/brain/__init__.py,,REACHABILITY,包初始化/重导出有静态引用；没有把模块加载等同业务调用。请结合依赖表检查导入副作用。,src/brain/__init__.py:1,对应绑定/调用链、外部部署/历史或数据证据；不得由 import 数量推断,STRUCTURAL_ROLE_KNOWN_RUNTIME_NOT_ASSERTED
U-F-014,src/channels/__init__.py,,REACHABILITY,包初始化/重导出有静态引用；没有把模块加载等同业务调用。请结合依赖表检查导入副作用。,src/channels/__init__.py:1,对应绑定/调用链、外部部署/历史或数据证据；不得由 import 数量推断,STRUCTURAL_ROLE_KNOWN_RUNTIME_NOT_ASSERTED
U-F-015,src/channels/base.py,,REACHABILITY,当前证据图未证明入口→具体调用/注册的完整链；可能是协议、未解析 DI/回调或历史/外部入口，不能判为无用。,src/channels/__init__.py:33;src/channels/console.py:21;src/channels/napcat.py:43;src/channels/official_qq.py:69,对应绑定/调用链、外部部署/历史或数据证据；不得由 import 数量推断,OPEN
U-F-016,src/channels/console.py,,REACHABILITY,当前证据图未证明入口→具体调用/注册的完整链；可能是协议、未解析 DI/回调或历史/外部入口，不能判为无用。,src/channels/__init__.py:34,对应绑定/调用链、外部部署/历史或数据证据；不得由 import 数量推断,OPEN
U-F-017,src/common/__init__.py,,REACHABILITY,包初始化/重导出有静态引用；没有把模块加载等同业务调用。请结合依赖表检查导入副作用。,src/common/__init__.py:1,对应绑定/调用链、外部部署/历史或数据证据；不得由 import 数量推断,STRUCTURAL_ROLE_KNOWN_RUNTIME_NOT_ASSERTED
U-F-018,src/common/interfaces.py,,REACHABILITY,当前证据图未证明入口→具体调用/注册的完整链；可能是协议、未解析 DI/回调或历史/外部入口，不能判为无用。,src/channels/base.py:29;src/channels/router.py:30;src/common/__init__.py:10;src/resources/resource_pool.py:20,对应绑定/调用链、外部部署/历史或数据证据；不得由 import 数量推断,OPEN
U-F-019,src/document_activities/__init__.py,,REACHABILITY,包初始化/重导出有静态引用；没有把模块加载等同业务调用。请结合依赖表检查导入副作用。,src/orchestration/document_worker.py:13;test/test_document_worker.py:8;test/web_persistence/test_document_worker_persistence.py:7,对应绑定/调用链、外部部署/历史或数据证据；不得由 import 数量推断,STRUCTURAL_ROLE_KNOWN_RUNTIME_NOT_ASSERTED
U-F-020,src/document_activities/contracts.py,,REACHABILITY,当前证据图未证明入口→具体调用/注册的完整链；可能是协议、未解析 DI/回调或历史/外部入口，不能判为无用。,src/document_activities/__init__.py:3;src/document_activities/runtime.py:19;src/file_runtime/routing.py:9;src/orchestration/document_workflow.py:10;test/test_document_temporal_integration.py:13,对应绑定/调用链、外部部署/历史或数据证据；不得由 import 数量推断,OPEN
U-F-021,src/file_adapters/__init__.py,,REACHABILITY,包初始化/重导出有静态引用；没有把模块加载等同业务调用。请结合依赖表检查导入副作用。,src/orchestration/document_worker.py:14;src/orchestration/worker.py:742;src/sandbox/tools/local/file_read.py:13;src/sandbox/tools/local/file_write.py:13;test/test_file_output.py:10,对应绑定/调用链、外部部署/历史或数据证据；不得由 import 数量推断,STRUCTURAL_ROLE_KNOWN_RUNTIME_NOT_ASSERTED
U-F-023,src/file_domain/__init__.py,,REACHABILITY,包初始化/重导出有静态引用；没有把模块加载等同业务调用。请结合依赖表检查导入副作用。,src/file_domain/__init__.py:1,对应绑定/调用链、外部部署/历史或数据证据；不得由 import 数量推断,STRUCTURAL_ROLE_KNOWN_RUNTIME_NOT_ASSERTED
U-F-025,src/file_domain/providers.py,,REACHABILITY,当前证据图未证明入口→具体调用/注册的完整链；可能是协议、未解析 DI/回调或历史/外部入口，不能判为无用。,src/file_domain/providers.py:1,对应绑定/调用链、外部部署/历史或数据证据；不得由 import 数量推断,OPEN
U-F-026,src/file_runtime/__init__.py,,REACHABILITY,包初始化/重导出有静态引用；没有把模块加载等同业务调用。请结合依赖表检查导入副作用。,src/document_activities/runtime.py:16;src/orchestration/worker.py:135;src/orchestration/worker.py:735;src/sandbox/tools/local/file_read.py:21;src/sandbox/tools/local/file_write.py:14;test/test_file_output.py:12;test/test_file_read_tools.py:13;test/test_file_version_tools.py:11;test/test_run_file_workspace.py:8;test/web_api/test_research_file_composition.py:7;test/web_persistence/test_file_lineage.py:10;test/web_persistence/test_file_output_persistence.py:8;test/web_persistence/test_persistent_web_files.py:13,对应绑定/调用链、外部部署/历史或数据证据；不得由 import 数量推断,STRUCTURAL_ROLE_KNOWN_RUNTIME_NOT_ASSERTED
U-F-027,src/harness/__init__.py,,REACHABILITY,包初始化/重导出有静态引用；没有把模块加载等同业务调用。请结合依赖表检查导入副作用。,src/harness/__init__.py:1,对应绑定/调用链、外部部署/历史或数据证据；不得由 import 数量推断,STRUCTURAL_ROLE_KNOWN_RUNTIME_NOT_ASSERTED
U-F-028,src/memory/__init__.py,,REACHABILITY,包初始化/重导出有静态引用；没有把模块加载等同业务调用。请结合依赖表检查导入副作用。,src/memory/__init__.py:1,对应绑定/调用链、外部部署/历史或数据证据；不得由 import 数量推断,STRUCTURAL_ROLE_KNOWN_RUNTIME_NOT_ASSERTED
U-F-029,src/orchestration/__init__.py,,REACHABILITY,包初始化/重导出有静态引用；没有把模块加载等同业务调用。请结合依赖表检查导入副作用。,src/orchestration/__init__.py:1,对应绑定/调用链、外部部署/历史或数据证据；不得由 import 数量推断,STRUCTURAL_ROLE_KNOWN_RUNTIME_NOT_ASSERTED
U-F-030,src/orchestration/document_contracts.py,,REACHABILITY,当前证据图未证明入口→具体调用/注册的完整链；可能是协议、未解析 DI/回调或历史/外部入口，不能判为无用。,src/orchestration/document_worker.py:15;src/orchestration/document_workflow.py:11;test/test_document_temporal_integration.py:15;test/test_document_worker.py:16,对应绑定/调用链、外部部署/历史或数据证据；不得由 import 数量推断,OPEN
U-F-031,src/persistence/__init__.py,,REACHABILITY,包初始化/重导出有静态引用；没有把模块加载等同业务调用。请结合依赖表检查导入副作用。,src/persistence/__init__.py:1,对应绑定/调用链、外部部署/历史或数据证据；不得由 import 数量推断,STRUCTURAL_ROLE_KNOWN_RUNTIME_NOT_ASSERTED
U-F-032,src/research_activities/__init__.py,,REACHABILITY,包初始化/重导出有静态引用；没有把模块加载等同业务调用。请结合依赖表检查导入副作用。,src/orchestration/worker.py:170;test/web_api/test_research_file_composition.py:9;test/web_persistence/test_research_r0_r2.py:11,对应绑定/调用链、外部部署/历史或数据证据；不得由 import 数量推断,STRUCTURAL_ROLE_KNOWN_RUNTIME_NOT_ASSERTED
U-F-033,src/research_adapters/__init__.py,,REACHABILITY,包初始化/重导出有静态引用；没有把模块加载等同业务调用。请结合依赖表检查导入副作用。,src/orchestration/worker.py:171,对应绑定/调用链、外部部署/历史或数据证据；不得由 import 数量推断,STRUCTURAL_ROLE_KNOWN_RUNTIME_NOT_ASSERTED
