module,path,baseline_status,status,new_owner,baseline_import_chain,current_import_chain,current_source_callers,current_test_script_callers,reason
account.account_service,src/account/account_service.py,SAFE_TO_DELETE_AFTER_W3_A,SAFE_TO_DELETE_AFTER_W3_A,,,,,,No canonical import path found. Retained legacy/test callers must be handled together in W3-B.
account.models,src/account/models.py,STILL_REACHABLE,STILL_REACHABLE,,web_api.app -> account -> account.models,web_api.app -> account -> account.models,src/account/__init__.py:3; src/account/account_service.py:16,,Canonical import path remains; retain/review actual symbol ownership.
agent,src/agent/__init__.py,STILL_REACHABLE,SAFE_TO_DELETE_AFTER_W3_A,,main -> orchestration.worker -> agent_activities.runtime -> agent,,src/agent/adapters.py:1; src/agent/adapters.py:12; src/agent/adapters.py:13; src/agent/adapters.py:14; src/agent/bus.py:1; src/agent/bus.py:11; src/agent/compensation.py:1; src/agent/compensation.py:12; src/agent/compensation.py:13; src/agent/composite.py:1; src/agent/composite.py:15; src/agent/composite.py:16; src/agent/composite.py:17; src/agent/composite.py:18; src/agent/composite.py:19; src/agent/context.py:1; src/agent/factory.py:1; src/agent/factory.py:17; src/agent/factory.py:18; src/agent/factory.py:19; src/agent/factory.py:20; src/agent/factory.py:21; src/agent/factory.py:32; src/agent/interfaces.py:1; src/agent/interfaces.py:18; src/agent/llm_agent.py:1; src/agent/llm_agent.py:13; src/agent/llm_agent.py:14; src/agent/llm_agent.py:15; src/agent/orchestrator.py:1; src/agent/orchestrator.py:25; src/agent/orchestrator.py:26; src/agent/orchestrator.py:27; src/agent/protocol.py:1; src/agent/registry.py:1; src/agent/registry.py:10; src/agent/registry.py:9; src/agent/runner.py:1; src/agent/runner.py:13; src/agent/runner.py:14; src/agent/runner.py:20; src/agent/runner.py:21; src/agent/runner.py:22; src/agent/strategies.py:1; src/agent/strategies.py:22; src/agent/strategies.py:23; src/agent/strategies.py:24; src/agent/types.py:1,,No canonical import path found. Retained legacy/test callers must be handled together in W3-B.
agent.adapters,src/agent/adapters.py,STILL_REACHABLE,SAFE_TO_DELETE_AFTER_W3_A,,main -> orchestration.worker -> agent_activities.runtime -> agent -> agent.adapters,,src/agent/__init__.py:17,,No canonical import path found. Retained legacy/test callers must be handled together in W3-B.
agent.bus,src/agent/bus.py,STILL_REACHABLE,SAFE_TO_DELETE_AFTER_W3_A,,main -> orchestration.worker -> agent_activities.runtime -> agent -> agent.bus,,src/agent/__init__.py:18; src/agent/factory.py:17,,No canonical import path found. Retained legacy/test callers must be handled together in W3-B.
agent.compensation,src/agent/compensation.py,STILL_REACHABLE,SAFE_TO_DELETE_AFTER_W3_A,,main -> orchestration.worker -> agent_activities.runtime -> agent -> agent.compensation,,src/agent/__init__.py:19,,No canonical import path found. Retained legacy/test callers must be handled together in W3-B.
agent.composite,src/agent/composite.py,STILL_REACHABLE,SAFE_TO_DELETE_AFTER_W3_A,,main -> orchestration.worker -> agent_activities.runtime -> agent -> agent.composite,,src/agent/__init__.py:20,,No canonical import path found. Retained legacy/test callers must be handled together in W3-B.
agent.context,src/agent/context.py,STILL_REACHABLE,SAFE_TO_DELETE_AFTER_W3_A,,main -> orchestration.worker -> agent_activities.runtime -> agent -> agent.context,,src/agent/__init__.py:21; src/agent/adapters.py:12; src/agent/compensation.py:12; src/agent/composite.py:15; src/agent/llm_agent.py:13; src/agent/orchestrator.py:25; src/agent/runner.py:13; src/agent/strategies.py:22,,No canonical import path found. Retained legacy/test callers must be handled together in W3-B.
agent.factory,src/agent/factory.py,STILL_REACHABLE,SAFE_TO_DELETE_AFTER_W3_A,,main -> orchestration.worker -> agent_activities.runtime -> agent -> agent.factory,,src/agent/__init__.py:22; src/agent/runner.py:14,,No canonical import path found. Retained legacy/test callers must be handled together in W3-B.
agent.interfaces,src/agent/interfaces.py,STILL_REACHABLE,SAFE_TO_DELETE_AFTER_W3_A,,main -> orchestration.worker -> agent_activities.runtime -> agent -> agent.interfaces,,src/agent/__init__.py:28; src/agent/adapters.py:13; src/agent/bus.py:11; src/agent/composite.py:16; src/agent/factory.py:18; src/agent/llm_agent.py:14; src/agent/orchestrator.py:26; src/agent/registry.py:9; src/agent/strategies.py:23,,No canonical import path found. Retained legacy/test callers must be handled together in W3-B.
agent.llm_agent,src/agent/llm_agent.py,STILL_REACHABLE,SAFE_TO_DELETE_AFTER_W3_A,,main -> orchestration.worker -> agent_activities.runtime -> agent -> agent.llm_agent,,src/agent/__init__.py:34; src/agent/runner.py:20,,No canonical import path found. Retained legacy/test callers must be handled together in W3-B.
agent.orchestrator,src/agent/orchestrator.py,STILL_REACHABLE,SAFE_TO_DELETE_AFTER_W3_A,,main -> orchestration.worker -> agent_activities.runtime -> agent -> agent.orchestrator,,src/agent/__init__.py:35; src/agent/composite.py:17; src/agent/factory.py:19; src/agent/runner.py:21,,No canonical import path found. Retained legacy/test callers must be handled together in W3-B.
agent.protocol,src/agent/protocol.py,SURVIVOR_EXTRACT_REQUIRED,SAFE_TO_DELETE_AFTER_W3_A,actions.contracts; brain.contracts,main -> orchestration.worker -> agent_activities.runtime -> agent.protocol,,,,Implementation extracted; old surface retained for W3-B.
agent.registry,src/agent/registry.py,STILL_REACHABLE,SAFE_TO_DELETE_AFTER_W3_A,,main -> orchestration.worker -> agent_activities.runtime -> agent -> agent.registry,,src/agent/__init__.py:36; src/agent/factory.py:20,,No canonical import path found. Retained legacy/test callers must be handled together in W3-B.
agent.runner,src/agent/runner.py,STILL_REACHABLE,SAFE_TO_DELETE_AFTER_W3_A,,main -> orchestration.worker -> agent_activities.runtime -> agent -> agent.runner,,src/agent/__init__.py:37,,No canonical import path found. Retained legacy/test callers must be handled together in W3-B.
agent.strategies,src/agent/strategies.py,STILL_REACHABLE,SAFE_TO_DELETE_AFTER_W3_A,,main -> orchestration.worker -> agent_activities.runtime -> agent -> agent.strategies,,src/agent/__init__.py:38; src/agent/composite.py:18; src/agent/factory.py:21,,No canonical import path found. Retained legacy/test callers must be handled together in W3-B.
agent.types,src/agent/types.py,STILL_REACHABLE,SAFE_TO_DELETE_AFTER_W3_A,,main -> orchestration.worker -> agent_activities.runtime -> agent -> agent.types,,src/agent/__init__.py:55; src/agent/adapters.py:14; src/agent/compensation.py:13; src/agent/composite.py:19; src/agent/factory.py:32; src/agent/interfaces.py:18; src/agent/llm_agent.py:15; src/agent/orchestrator.py:27; src/agent/registry.py:10; src/agent/runner.py:22; src/agent/strategies.py:24,,No canonical import path found. Retained legacy/test callers must be handled together in W3-B.
