path,loc,fan_in,fan_out,logical_owner,capability,runtime_roots,reachability_class,fact_flags,evidence
src/sandbox/tools/adapters/mcp.py,1545,4,15,Tool runtime / workspace execution,P3,R1;R5,PROD_CONDITIONAL,LARGE_HOTSPOT,src/sandbox/tools/adapters/mcp.py:1;src/sandbox/tools/adapters/mcp.py:1197;src/sandbox/tools/adapters/mcp.py:1215;src/sandbox/tools/adapters/mcp.py:1222;src/sandbox/tools/adapters/mcp.py:1297;src/sandbox/tools/adapters/mcp.py:385;src/sandbox/tools/adapters/mcp.py:58;src/sandbox/tools/adapters/mcp.py:69;src/sandbox/tools/adapters/mcp.py:871
src/agent_activities/runtime.py,1499,6,23,Durable Agent data plane,MULTIPLE,R1;R3;R4;R5,PROD_CONDITIONAL,HIGH_FAN_OUT;LARGE_HOTSPOT,src/agent_activities/runtime.py:1;src/agent_activities/runtime.py:64
src/orchestration/worker.py,1370,5,84,Process composition & lifecycle,MULTIPLE,R1;R5,PROD_CONDITIONAL,HIGH_FAN_OUT;LARGE_HOTSPOT,src/orchestration/worker.py:1;src/orchestration/worker.py:103;src/orchestration/worker.py:391;src/orchestration/worker.py:475;src/orchestration/worker.py:508;src/orchestration/worker.py:584;src/orchestration/worker.py:598;src/orchestration/worker.py:68;src/orchestration/worker.py:89
src/web_api/app.py,1148,6,45,Web HTTP / authentication / SSE,MULTIPLE,R2,PROD_DIRECT,HIGH_FAN_OUT;LARGE_HOTSPOT,src/web_api/app.py:1;src/web_api/app.py:103;src/web_api/app.py:157;src/web_api/app.py:161;src/web_api/app.py:180;src/web_api/app.py:204;src/web_api/app.py:211;src/web_api/app.py:215;src/web_api/app.py:224
src/agent/strategies.py,944,9,9,Mixed protocol / experimental Multi-Agent,NONE,,EXPERIMENTAL_REJECTED,EXPERIMENTAL_CODE;LARGE_HOTSPOT;PRODUCTION_REJECTED,src/agent/strategies.py:1;src/agent/strategies.py:141;src/agent/strategies.py:192;src/agent/strategies.py:328;src/agent/strategies.py:339;src/agent/strategies.py:352;src/agent/strategies.py:366;src/agent/strategies.py:37;src/agent/strategies.py:57;src/orchestration/worker.py:803;src/agent/__init__.py:16
src/channels/official_qq.py,905,2,10,QQ transport,P1,R1,PROD_CONDITIONAL,LARGE_HOTSPOT,src/channels/official_qq.py:1;src/channels/official_qq.py:113;src/channels/official_qq.py:124
web/src/store/workbench.test.ts,850,0,5,Web frontend,P1,,TEST_ONLY,LARGE_HOTSPOT,web/src/store/workbench.test.ts:1
src/orchestration/config.py,810,8,8,Runtime configuration composition,MULTIPLE,R1;R5,PROD_CONDITIONAL,ARCHITECTURE_DRIFT;LARGE_HOTSPOT,src/orchestration/config.py:1;src/orchestration/config.py:34;src/orchestration/config.py:43;src/orchestration/config.py:57;src/orchestration/config.py:65;src/orchestration/config.py:72;src/orchestration/config.py:79;src/orchestration/config.py:89;src/orchestration/config.py:97
src/research_activities/runtime.py,807,1,22,Research execution,P6,R1;R3;R5,PROD_CONDITIONAL,HIGH_FAN_OUT;LARGE_HOTSPOT,src/research_activities/runtime.py:1;src/research_activities/runtime.py:45
web/src/store/workbench.ts,794,5,8,Web frontend,MULTIPLE,R7,PROD_CONDITIONAL,LARGE_HOTSPOT,web/src/store/workbench.ts:1
src/session/store.py,736,3,9,QQ short-term persistence,P2,R1;R4;R5,PROD_CONDITIONAL,ARCHITECTURE_DRIFT;LARGE_HOTSPOT,src/session/store.py:1;src/session/store.py:46;src/session/store.py:731
src/agent_execution/brain_action_loop.py,705,5,12,Agent execution hosts & tracing,MULTIPLE,R1;R4;R5,PROD_CONDITIONAL,LARGE_HOTSPOT,src/agent_execution/brain_action_loop.py:1;src/agent_execution/brain_action_loop.py:33;src/agent_execution/brain_action_loop.py:43
src/resources/model_client.py,673,4,9,Model / retrieval infrastructure,P3,R1;R4;R5,PROD_CONDITIONAL,LARGE_HOTSPOT,src/resources/model_client.py:1;src/resources/model_client.py:28
src/memory/hindsight_client.py,662,7,7,Long-term / group memory adapters,P2,R1;R5,PROD_CONDITIONAL,LARGE_HOTSPOT,src/memory/hindsight_client.py:1;src/memory/hindsight_client.py:127;src/memory/hindsight_client.py:139;src/memory/hindsight_client.py:31;src/memory/hindsight_client.py:93
src/web_domain/services.py,627,27,18,Web transactional domain,MULTIPLE,R1;R2;R3;R4;R5,PROD_CONDITIONAL,HIGH_FAN_IN;LARGE_HOTSPOT,src/web_domain/services.py:1;src/web_domain/services.py:48;src/web_domain/services.py:53;src/web_domain/services.py:58;src/web_domain/services.py:76
src/agent_execution/qq_host.py,593,5,11,Agent execution hosts & tracing,MULTIPLE,R1;R5,PROD_CONDITIONAL,,src/agent_execution/qq_host.py:1;src/agent_execution/qq_host.py:156;src/agent_execution/qq_host.py:251;src/agent_execution/qq_host.py:255;src/agent_execution/qq_host.py:261;src/agent_execution/qq_host.py:29;src/agent_execution/qq_host.py:35;src/agent_execution/qq_host.py:53;src/agent_execution/qq_host.py:59
src/persistence/repositories.py,550,10,6,PostgreSQL runtime,MULTIPLE,R1;R2;R3;R4;R5,PROD_CONDITIONAL,,src/persistence/repositories.py:1;src/persistence/repositories.py:114;src/persistence/repositories.py:12;src/persistence/repositories.py:202;src/persistence/repositories.py:22;src/persistence/repositories.py:345;src/persistence/repositories.py:359;src/persistence/repositories.py:425;src/persistence/repositories.py:55
src/channels/napcat.py,543,2,9,QQ transport,P1,R1,PROD_CONDITIONAL,,src/channels/napcat.py:1;src/channels/napcat.py:124;src/channels/napcat.py:49;src/channels/napcat.py:54;src/channels/napcat.py:64;src/channels/napcat.py:75
src/research_domain/persistence.py,538,3,10,Research PostgreSQL repositories,P6,R1;R2;R3;R5,PROD_CONDITIONAL,PACKAGE_BOUNDARY_CROSSING,src/research_domain/persistence.py:1;src/research_domain/persistence.py:24;src/research_domain/persistence.py:85
src/web_api/sse.py,404,3,15,Web SSE transport,S2,R2,PROD_CONDITIONAL,,src/web_api/sse.py:1;src/web_api/sse.py:116;src/web_api/sse.py:128;src/web_api/sse.py:134;src/web_api/sse.py:44;src/web_api/sse.py:52;src/web_api/sse.py:60;src/web_api/sse.py:91
