source,target,edge_type,evidence,config_gates,confidence,detail
DEPLOY:hpagent,src/entrypoint.sh,PROCESS_COMMAND,src/Dockerfile:51;docker-compose.yaml:410,valid config; agent.mode=single; selected channel,HIGH,
src/entrypoint.sh,src/main.py::main,PROCESS_ENTRYPOINT,src/entrypoint.sh:5,valid config; agent.mode=single; selected channel,HIGH,
DEPLOY:hpagent-api,src/web_api/__main__.py::main,PROCESS_ENTRYPOINT,src/Dockerfile.web-api:10;docker-compose.yaml:635,valid WebSettings / database,HIGH,
DEPLOY:hpagent-document-worker,src/orchestration/document_worker.py::main,PROCESS_ENTRYPOINT,src/Dockerfile.document:20;docker-compose.yaml:584,database / Temporal / document image; heavy-normalization request,HIGH,
DEPLOY:web-gateway,web/src/main.tsx,PROCESS_ENTRYPOINT,web/index.html:10;web/Dockerfile:23;docker-compose.yaml:801,web-gateway web-prod; web-dev development,HIGH,
DEPLOY:hpagent-migrate,src/persistence/migrate.py::main,PROCESS_ENTRYPOINT,src/Dockerfile.migrate:17;docker-compose.yaml:353,MIGRATE_DATABASE_URL,HIGH,
src/web_api/__main__.py::main,src/web_api/app.py::create_app,REVIEWED_DI_DISPATCH,src/web_api/__main__.py:21,,HIGH,人工核对的具体实现/回调绑定；不是 import 推导
src/web_api/app.py::create_app,src/web_api/app.py::create_app.lifespan,ASGI_LIFESPAN,src/web_api/app.py:370,ASGI application startup,HIGH,人工核对的具体实现/回调绑定；不是 import 推导
src/orchestration/worker.py::start_worker,src/orchestration/worker.py::start_worker.handle_message,CHANNEL_CALLBACK,src/orchestration/worker.py:1064,channel ingress callback,HIGH,人工核对的具体实现/回调绑定；不是 import 推导
src/harness/activities.py::process_turn_activity,src/agent_execution/qq_host.py::QQExecutionHost.execute,REVIEWED_DI_DISPATCH,src/harness/activities.py:54,,HIGH,人工核对的具体实现/回调绑定；不是 import 推导
src/harness/activities.py::archive_session_activity,src/application/session_archive.py::SessionArchiveService.archive,REVIEWED_DI_DISPATCH,src/harness/activities.py:72,,HIGH,人工核对的具体实现/回调绑定；不是 import 推导
src/harness/activities.py::reflect_activity,src/application/memory_reflection.py::MemoryReflectionService.reflect,REVIEWED_DI_DISPATCH,src/harness/activities.py:83,,HIGH,人工核对的具体实现/回调绑定；不是 import 推导
src/harness/activities.py::metrics_report_activity,src/application/metrics.py::MetricsSnapshotService.snapshot,REVIEWED_DI_DISPATCH,src/harness/activities.py:95,,HIGH,人工核对的具体实现/回调绑定；不是 import 推导
src/agent_execution/facade.py::AgentExecutionFacade.execute,src/agent_execution/brain_action_loop.py::DefaultBrainActionLoop.execute,REVIEWED_DI_DISPATCH,src/agent_execution/facade.py:176,,HIGH,人工核对的具体实现/回调绑定；不是 import 推导
src/orchestration/web_activities.py::execute_agent_activity,src/agent_execution/web_host.py::WebExecutionHost.execute,REVIEWED_DI_DISPATCH,src/orchestration/web_activities.py:127,,HIGH,人工核对的具体实现/回调绑定；不是 import 推导
src/application/ingress.py::MessageIngressService.handle,src/application/conversation.py::ConversationService.start_or_signal,REVIEWED_DI_DISPATCH,src/application/ingress.py:66,,HIGH,人工核对的具体实现/回调绑定；不是 import 推导
src/application/conversation.py::ConversationService._prepare_session_resources,src/sandbox/sandbox_manager.py::SandboxManager.create_session_sandbox,REVIEWED_DI_DISPATCH,src/application/conversation.py:214,,HIGH,人工核对的具体实现/回调绑定；不是 import 推导
src/agent_execution/web_host.py::WebExecutionHost.execute,src/workspace/isolation.py::SessionResourceRecoveryService.lease_for_run,REVIEWED_DI_DISPATCH,src/agent_execution/web_host.py:123,resource_prep injected,HIGH,人工核对的具体实现/回调绑定；不是 import 推导
src/workspace/isolation.py::SessionResourceRecoveryService.lease_for_run,src/sandbox/sandbox_manager.py::SandboxManager.create_session_sandbox,REVIEWED_DI_DISPATCH,src/workspace/isolation.py:289,,HIGH,人工核对的具体实现/回调绑定；不是 import 推导
src/agent_execution/qq_host.py::QQExecutionHost.execute,src/agent_execution/qq_host.py::QQLegacyRequestLoader.load,REVIEWED_DI_DISPATCH,src/agent_execution/qq_host.py:303,,HIGH,人工核对的具体实现/回调绑定；不是 import 推导
src/agent_execution/qq_host.py::QQExecutionHost.execute,src/agent_execution/qq_host.py::ReplyServiceQQSink.complete,REVIEWED_DI_DISPATCH,src/agent_execution/qq_host.py:332,,HIGH,人工核对的具体实现/回调绑定；不是 import 推导
src/agent_execution/qq_host.py::QQExecutionHost.execute,src/agent_execution/qq_host.py::TurnMemoryQQRetentionSink.retain,REVIEWED_DI_DISPATCH,src/agent_execution/qq_host.py:334,retention injected,HIGH,人工核对的具体实现/回调绑定；不是 import 推导
src/brain/engine.py::BrainEngine.generate_chat,src/resources/resource_pool.py::ResourcePool.generate,REVIEWED_DI_DISPATCH,src/brain/engine.py:64,,HIGH,人工核对的具体实现/回调绑定；不是 import 推导
src/orchestration/artifact_activities.py::execute_artifact_build_activity,src/web_artifacts/build.py::ArtifactBuildService.execute,REVIEWED_DI_DISPATCH,src/orchestration/artifact_activities.py:23,,HIGH,人工核对的具体实现/回调绑定；不是 import 推导
src/actions/runtime.py::ActionRuntime.select_tools,src/sandbox/sandbox.py::Sandbox.select_tools,REVIEWED_DI_DISPATCH,src/actions/runtime.py:101,,HIGH,人工核对的具体实现/回调绑定；不是 import 推导
src/actions/runtime.py::ActionRuntime.execute,src/sandbox/sandbox.py::Sandbox.execute,REVIEWED_DI_DISPATCH,src/actions/runtime.py:148,,HIGH,人工核对的具体实现/回调绑定；不是 import 推导
src/application/conversation.py::ConversationService.start_or_signal,src/account/postgres_account_service.py::PostgresAccountService.resolve,REVIEWED_DI_DISPATCH,src/application/conversation.py:72,,HIGH,人工核对的具体实现/回调绑定；不是 import 推导
src/sandbox/sandbox_manager.py::SandboxManager.create_session_sandbox,src/sandbox/tools/local/fs_read.py::create_fs_read_tool,TOOL_FACTORY,src/sandbox/tools/local/__init__.py:1,reminder always registered; other native tools require native_tools_enabled; Bash additionally host_bash_enabled,HIGH,create_fs_read_tool
src/sandbox/sandbox_manager.py::SandboxManager.create_session_sandbox,src/sandbox/tools/local/fs_write.py::create_fs_write_tool,TOOL_FACTORY,src/sandbox/tools/local/__init__.py:2,reminder always registered; other native tools require native_tools_enabled; Bash additionally host_bash_enabled,HIGH,create_fs_write_tool
src/sandbox/sandbox_manager.py::SandboxManager.create_session_sandbox,src/sandbox/tools/local/fs_edit.py::create_fs_edit_tool,TOOL_FACTORY,src/sandbox/tools/local/__init__.py:3,reminder always registered; other native tools require native_tools_enabled; Bash additionally host_bash_enabled,HIGH,create_fs_edit_tool
src/sandbox/sandbox_manager.py::SandboxManager.create_session_sandbox,src/sandbox/tools/local/glob_.py::create_glob_tool,TOOL_FACTORY,src/sandbox/tools/local/__init__.py:4,reminder always registered; other native tools require native_tools_enabled; Bash additionally host_bash_enabled,HIGH,create_glob_tool
src/sandbox/sandbox_manager.py::SandboxManager.create_session_sandbox,src/sandbox/tools/local/grep.py::create_grep_tool,TOOL_FACTORY,src/sandbox/tools/local/__init__.py:5,reminder always registered; other native tools require native_tools_enabled; Bash additionally host_bash_enabled,HIGH,create_grep_tool
src/sandbox/sandbox_manager.py::SandboxManager.create_session_sandbox,src/sandbox/tools/local/bash.py::create_bash_tool,TOOL_FACTORY,src/sandbox/tools/local/__init__.py:6,reminder always registered; other native tools require native_tools_enabled; Bash additionally host_bash_enabled,HIGH,create_bash_tool
src/sandbox/sandbox_manager.py::SandboxManager.create_session_sandbox,src/sandbox/tools/local/reminder.py::create_reminder_tool,TOOL_FACTORY,src/sandbox/tools/local/__init__.py:7,reminder always registered; other native tools require native_tools_enabled; Bash additionally host_bash_enabled,HIGH,create_reminder_tool
src/sandbox/sandbox_manager.py::SandboxManager.create_session_sandbox,src/sandbox/tools/local/reminder.py::create_list_reminders_tool,TOOL_FACTORY,src/sandbox/tools/local/__init__.py:7,reminder always registered; other native tools require native_tools_enabled; Bash additionally host_bash_enabled,HIGH,create_list_reminders_tool
src/sandbox/sandbox_manager.py::SandboxManager.create_session_sandbox,src/sandbox/tools/local/reminder.py::create_cancel_reminder_tool,TOOL_FACTORY,src/sandbox/tools/local/__init__.py:7,reminder always registered; other native tools require native_tools_enabled; Bash additionally host_bash_enabled,HIGH,create_cancel_reminder_tool
src/sandbox/tools/local/bash.py::create_bash_tool,src/sandbox/tools/local/bash.py::create_bash_tool.bash,TOOL_CALLBACK,src/sandbox/tools/local/bash.py:65,selected registered tool,HIGH,coroutine
