path,classification,invocation,evidence,source_imports
scripts/backup.sh,backup_restore,bash scripts/backup.sh,scripts/backup.sh:1,
scripts/benchmarks/agent_strategy/agent_strategy.sh,benchmark,bash scripts/benchmarks/agent_strategy/agent_strategy.sh,scripts/benchmarks/agent_strategy/agent_strategy.sh:1,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py,benchmark,python scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:617,src/web_domain/sessions.py
scripts/benchmarks/agent_strategy/agent_strategy_experiment.py,benchmark,python scripts/benchmarks/agent_strategy/agent_strategy_experiment.py,scripts/benchmarks/agent_strategy/agent_strategy_experiment.py:518,src/sandbox/git_repo.py
scripts/benchmarks/agent_strategy/summarize_agent_strategy_benchmark.py,benchmark,python scripts/benchmarks/agent_strategy/summarize_agent_strategy_benchmark.py,scripts/benchmarks/agent_strategy/summarize_agent_strategy_benchmark.py:260,
scripts/benchmarks/outbox/outbox_benchmark_worker.py,benchmark,python scripts/benchmarks/outbox/outbox_benchmark_worker.py,scripts/benchmarks/outbox/outbox_benchmark_worker.py:129,src/orchestration/web_dispatcher.py;src/orchestration/web_workflow.py;src/web_domain/lifecycle.py;src/web_domain/outbox.py;src/web_domain/workflow_execution.py
scripts/benchmarks/outbox/outbox_recovery_benchmark.py,benchmark,python scripts/benchmarks/outbox/outbox_recovery_benchmark.py,scripts/benchmarks/outbox/outbox_recovery_benchmark.py:696,src/persistence/migrate.py;src/web_api/app.py;src/web_api/config.py
scripts/benchmarks/temporal/activity_worker_recovery_benchmark.py,benchmark,python scripts/benchmarks/temporal/activity_worker_recovery_benchmark.py,scripts/benchmarks/temporal/activity_worker_recovery_benchmark.py:829,src/agent_activities/store.py;src/agent_workflows/contracts.py;src/persistence/migrate.py;src/web_domain/services.py
scripts/benchmarks/temporal/temporal_recovery_benchmark.py,benchmark,python scripts/benchmarks/temporal/temporal_recovery_benchmark.py,scripts/benchmarks/temporal/temporal_recovery_benchmark.py:590,src/agent_workflows/agent_run.py;src/agent_workflows/contracts.py
scripts/bootstrap_identity.py,migration_admin,python scripts/bootstrap_identity.py,scripts/bootstrap_identity.py:63,src/account/bootstrap.py
scripts/capture_web_workflow_history.py,compatibility_inspection,python scripts/capture_web_workflow_history.py,scripts/capture_web_workflow_history.py:159,src/orchestration/web_dispatcher.py;src/orchestration/web_workers.py;src/orchestration/web_workflow.py
scripts/check_mcp_health.py,operations_development,python scripts/check_mcp_health.py,scripts/check_mcp_health.py:368,src/sandbox/tools/adapters/mcp.py
scripts/clear-all.sh,development_reset,bash scripts/clear-all.sh,scripts/clear-all.sh:1,
scripts/clear-hindsight.sh,development_reset,bash scripts/clear-hindsight.sh,scripts/clear-hindsight.sh:1,
scripts/clear-redis.sh,development_reset,bash scripts/clear-redis.sh,scripts/clear-redis.sh:1,
scripts/clear-temporal.sh,development_reset,bash scripts/clear-temporal.sh,scripts/clear-temporal.sh:1,
scripts/dev-reset.sh,development_reset,bash scripts/dev-reset.sh,scripts/dev-reset.sh:1,
scripts/docker-offline-export.sh,operations_development,bash scripts/docker-offline-export.sh,scripts/docker-offline-export.sh:1,
scripts/docker-offline-load.sh,operations_development,bash scripts/docker-offline-load.sh,scripts/docker-offline-load.sh:1,
scripts/gateway-smoke.sh,smoke_probe,bash scripts/gateway-smoke.sh,scripts/gateway-smoke.sh:1,
scripts/merge-account.py,compatibility_inspection,python scripts/merge-account.py,scripts/merge-account.py:133,
scripts/migrate-memory-format.py,migration_admin,python scripts/migrate-memory-format.py,scripts/migrate-memory-format.py:263,
scripts/migrate_web_credentials.py,migration_admin,python scripts/migrate_web_credentials.py,scripts/migrate_web_credentials.py:74,src/account/identity.py
scripts/observability-viewer.py,operations_development,python scripts/observability-viewer.py,scripts/observability-viewer.py:832,
scripts/release-smoke.sh,smoke_probe,bash scripts/release-smoke.sh,scripts/release-smoke.sh:1,
scripts/session-viewer.py,operations_development,python scripts/session-viewer.py,scripts/session-viewer.py:641,
scripts/start-all.sh,operations_development,bash scripts/start-all.sh,scripts/start-all.sh:1,
scripts/start-mcp.sh,operations_development,bash scripts/start-mcp.sh,scripts/start-mcp.sh:1,
scripts/test-compose-model-latency.sh,smoke_probe,bash scripts/test-compose-model-latency.sh,scripts/test-compose-model-latency.sh:1,
scripts/test-fast-models.py,smoke_probe,python scripts/test-fast-models.py,scripts/test-fast-models.py:276,
scripts/test-models.py,smoke_probe,python scripts/test-models.py,scripts/test-models.py:408,src/common/errors.py;src/resources/model_client.py
scripts/test-official-qq.py,smoke_probe,python scripts/test-official-qq.py,scripts/test-official-qq.py:175,
scripts/ws_client.py,smoke_probe,python scripts/ws_client.py,scripts/ws_client.py:76,
web/scripts/e2e-backend.sh,operations_development,bash web/scripts/e2e-backend.sh,web/scripts/e2e-backend.sh:1,
web/scripts/e2e-f4.sh,operations_development,bash web/scripts/e2e-f4.sh,web/scripts/e2e-f4.sh:1,
