entity_id,granularity,path,symbol,language,structural_parent,logical_owner,capability,responsibility,owns,provides_to,imports_out,imported_by,fan_out,fan_in,instantiated_by,called_by,runtime_roots,reachability_class,config_gates,docker_profiles,temporal_registration,dynamic_registration,data_reads,data_writes,external_dependencies,side_effects,test_refs,script_refs,doc_refs,fact_flags,evidence,confidence,unresolved_reason,loc,static_root_candidates,proof_id,entity_role,reachability_basis,transitive_data_reads,transitive_data_writes,state_effect_basis
file:.env.example,asset,.env.example,,example,.,Repository / operations,NONE,文件资产：development_asset,,,,,0,0,,,,GENERATED_OR_DATA,,,,,,,,,,,docs/operations/daily-research-r0-r6-runtime-acceptance.md:1206;docs/operations/daily-research-r0-r6-runtime-acceptance.md:367;docs/operations/daily-research-r0-r6-runtime-acceptance.md:77;docs/operations/file-assistant-f0-f3-runtime-closure-handoff.md:110;docs/operations/file-assistant-f0-f3-runtime-closure-handoff.md:170;docs/operations/file-assistant-f0-f3-runtime-closure-handoff.md:60;docs/operations/runbook.md:5;docs/reference/configuration.md:3,,.env.example:1,MEDIUM,,75,,,repository_asset,,,,
file:.github/workflows/ci.yml,asset,.github/workflows/ci.yml,,yml,.github/workflows,Repository / operations,NONE,文件资产：deployment_configuration,,,,,0,0,,,,GENERATED_OR_DATA,,,,,,,,,,,,,.github/workflows/ci.yml:1,MEDIUM,,351,,,repository_asset,,,,
file:.gitignore,asset,.gitignore,,text,.,Repository / operations,NONE,文件资产：development_asset,,,,,0,0,,,,GENERATED_OR_DATA,,,,,,,,,,,docs/operations/file-assistant-f0-f4-implementation-map.md:186;docs/operations/web-release.md:224,,.gitignore:1,MEDIUM,,54,,,repository_asset,,,,
file:Makefile,asset,Makefile,,text,.,Repository / operations,NONE,文件资产：deployment_configuration,,,,,0,0,,,,GENERATED_OR_DATA,,,,,,,,,,,,,Makefile:1,MEDIUM,,70,,,repository_asset,,,,
file:config/agents.yaml,asset,config/agents.yaml,,yaml,config,Repository / operations,NONE,文件资产：deployment_configuration,,,,,0,0,,,,GENERATED_OR_DATA,,,,,,,,,,,,,config/agents.yaml:1,MEDIUM,,31,,,repository_asset,,,,
file:config/mcp/servers.yaml,asset,config/mcp/servers.yaml,,yaml,config/mcp,Repository / operations,NONE,文件资产：deployment_configuration,,,,,0,0,,,,GENERATED_OR_DATA,,,,,,,,,,,,,config/mcp/servers.yaml:1,MEDIUM,,228,,,repository_asset,,,,
file:config/models.f4-e2e.yaml,asset,config/models.f4-e2e.yaml,,yaml,config,Repository / operations,NONE,文件资产：deployment_configuration,,,,,0,0,,,,GENERATED_OR_DATA,,,,,,,,,,,,,config/models.f4-e2e.yaml:1,MEDIUM,,26,,,repository_asset,,,,
file:config/models.yaml,asset,config/models.yaml,,yaml,config,Repository / operations,NONE,文件资产：deployment_configuration,,,,,0,0,,,,GENERATED_OR_DATA,,,,,,,,,,,docs/operations/daily-research-r0-r6-runtime-acceptance.md:95;docs/reference/configuration.md:3;docs/reference/configuration.md:35,,config/models.yaml:1,MEDIUM,,162,,,repository_asset,,,,
file:config/prompts/environment.yaml,asset,config/prompts/environment.yaml,,yaml,config/prompts,Repository / operations,NONE,文件资产：deployment_configuration,,,,,0,0,,,,GENERATED_OR_DATA,,,,,,,,,,,,,config/prompts/environment.yaml:1,MEDIUM,,18,,,repository_asset,,,,
file:config/prompts/guidance.yaml,asset,config/prompts/guidance.yaml,,yaml,config/prompts,Repository / operations,NONE,文件资产：deployment_configuration,,,,,0,0,,,,GENERATED_OR_DATA,,,,,,,,,,,,,config/prompts/guidance.yaml:1,MEDIUM,,69,,,repository_asset,,,,
file:config/prompts/identities.yaml,asset,config/prompts/identities.yaml,,yaml,config/prompts,Repository / operations,NONE,文件资产：deployment_configuration,,,,,0,0,,,,GENERATED_OR_DATA,,,,,,,,,,,,,config/prompts/identities.yaml:1,MEDIUM,,94,,,repository_asset,,,,
file:config/prompts/system.yaml,asset,config/prompts/system.yaml,,yaml,config/prompts,Repository / operations,NONE,文件资产：deployment_configuration,,,,,0,0,,,,GENERATED_OR_DATA,,,,,,,,,,,,,config/prompts/system.yaml:1,MEDIUM,,26,,,repository_asset,,,,
file:config/prompts/tool_summary.yaml,asset,config/prompts/tool_summary.yaml,,yaml,config/prompts,Repository / operations,NONE,文件资产：deployment_configuration,,,,,0,0,,,,GENERATED_OR_DATA,,,,,,,,,,,,,config/prompts/tool_summary.yaml:1,MEDIUM,,19,,,repository_asset,,,,
file:config/searxng/entrypoint.sh,file,config/searxng/entrypoint.sh,,sh,config/searxng,Repository / operations,NONE,文件资产：deployment_configuration,,,,,0,0,,,,GENERATED_OR_DATA,,,,,,,,,,,docs/operations/daily-research-r0-r6-runtime-acceptance.md:1159;docs/operations/daily-research-r0-r6-runtime-acceptance.md:1213,,config/searxng/entrypoint.sh:1,MEDIUM,,26,,,repository_asset,,,,"DIRECT fields remain SQL literals; transitive fields are graph union, path gates apply, mutually exclusive branches may be combined; external/MCP effects not exhausted"
file:config/searxng/settings.yml,asset,config/searxng/settings.yml,,yml,config/searxng,Repository / operations,NONE,文件资产：deployment_configuration,,,,,0,0,,,,GENERATED_OR_DATA,,,,,,,,,,,docs/operations/daily-research-r0-r6-runtime-acceptance.md:1158;docs/operations/daily-research-r0-r6-runtime-acceptance.md:1212,,config/searxng/settings.yml:1,MEDIUM,,20,,,repository_asset,,,,
