system,resources,logical_owners,lifecycle,evidence,capability
PostgreSQL identity,accounts;identity_bindings;web_credentials;identity_binding_challenges;web_auth_sessions,account/*;web_api/auth.py,API registration/login/binding; QQ identity lookup,src/account/postgres_account_service.py:63;src/web_api/app.py:273;src/account/registration_service.py:1,P2
PostgreSQL Web transaction,conversations;messages;runs;sessions;workflow_executions;idempotency_commands;outbox_events,web_domain;web_api/queries.py;persistence/repositories.py,API writes requests and outbox; Worker commits lifecycle; API projects query/SSE,src/web_domain/services.py:206;src/web_domain/lifecycle.py:1;src/web_api/queries.py:1,P1;P4;S2
PostgreSQL durable data plane,agent_transcripts;agent_transcript_events;agent_operations;account_execution_leases,agent_activities/store.py,"Activity CAS/idempotency/fencing, lease ownership per account",persistence/migrations/014_durable_agent_control_plane.sql:12;src/agent_activities/store.py:1,P3;P4
PostgreSQL budget / trace,run_budgets;run_usage_ledger;trace_runs;trace_events,agent_execution/run_budget.py;agent_execution/tracing/repository.py,"model/provider attempts, tool/research/document budgets; Trace projection",src/agent_execution/run_budget.py:1;persistence/migrations/017_file_workspace_p0.sql:89;persistence/migrations/016_agent_trace.sql:5,P4;S2
PostgreSQL files,stored_files;message_files;run_files;normalized_documents;file_action_approvals;persistent_file_destinations;persistent_file_revisions,web_domain/file_services.py;file_domain/*;file_runtime/output.py;workspace/file_scope.py,"upload metadata, run bindings, normalization, approvals, immutable revisions/lineage",persistence/migrations/017_file_workspace_p0.sql:4;persistence/migrations/025_file_document_worker.sql:4;persistence/migrations/031_persistent_web_file_foundation.sql:28,P5
PostgreSQL Research,tasks;research_plans;source_records;source_contents;evidence_items;research_stage_results;research_iterations;research_claims;research_citations;research_reports,research_domain/persistence.py;research_domain/services.py,fixed stage results/idempotency; schedule desired state; report publication via SQL function,src/research_domain/services.py:184;src/research_domain/persistence.py:526,P6
PostgreSQL Artifact,artifacts;artifact_versions;artifact_outbox_events,web_artifacts/*;orchestration/artifact_*;Research SQL publication,message-driven build/version queue; Research publishes report artifact with deterministic IDs,src/web_artifacts/services.py:211;src/research_domain/persistence.py:526,S1;P6
Redis QQ,session hot state;group context,session/store.py;memory/group_context.py;storage/redis.py,short-term state/cache; SessionStore also owns WAL and optional in-memory fallback,src/session/store.py:63;src/orchestration/worker.py:664,P1;P2
Redis Web,online progress/delta/trace;terminal event channel,agent_execution/web_events.py;web_api/sse.py;web_api/terminal_publisher.py,best-effort online transport; authoritative Run remains PostgreSQL,src/web_api/app.py:322;src/web_api/terminal_publisher.py:74,S2
SQLite workspace,workspace.db:users;sessions,session/db.py WorkspaceDB,"local workspace metadata, distinct from PostgreSQL accounts/sessions",src/session/db.py:15;src/orchestration/worker.py:715,P1;P3
QQ WAL / archive files,active-session WAL/checkpoint;session history.jsonl/meta.yaml,session/store.py;application/session_archive.py;storage/file_store.py,append event WAL then cache; archive orchestrated by application service,src/session/store.py:204;src/application/session_archive.py:1,P2;P4
Git workspace,account repo;session branches,sandbox/git_repo.py;session/workspace.py;workspace/isolation.py,GitRepoManager prepares repo/branch; process lock and account lock protect topology,src/application/conversation.py:195;src/workspace/isolation.py:251,P3;P4
Tenant object files,FILE_STORE_ROOT;hpagent-file-store volume,storage/tenant_file_store.py,"immutable account/file object paths; API/Worker writable, Document worker reader",docker-compose.yaml:607;src/orchestration/document_worker.py:31,P5
Run file execution scope,RUN_FILE_ROOT / hpagent-file-runs;DOCUMENT_RUN_ROOT / hpagent-document-runs,workspace/file_scope.py;file_runtime/resolver.py,bind logical inputs; isolate run output and document scratch from persistent objects,src/workspace/file_scope.py:1;docker-compose.yaml:608,P5
Scheduler JSON,scheduler.data_dir,orchestration/scheduler.py,user_reminder task persistence and handler polling; separate from Temporal Research schedules,src/orchestration/worker.py:751;src/orchestration/worker.py:891,P1
Hindsight,bank / retained documents / recall results,memory/hindsight_client.py;application/memory*.py,long-term memory external service; Web retain consumer waits for healthy Hindsight,src/orchestration/worker.py:373;src/application/memory_retention.py:1,P2
Temporal,workflow histories;queues;schedules,orchestration/*;agent_workflows/*,History holds compact references; business payloads/transcripts in PostgreSQL; external histories not inspected,src/orchestration/web_workers.py:163;src/agent_workflows/react.py:1,P4;P6
