item_id,path,phase2_1_kind,phase2_1_status,decision_ids,gate_ids,disposition,needed_evidence,old_production_evidence_required,source_fact_closed,decision_gate_removed
U-F-001,src/__init__.py,REACHABILITY,STRUCTURAL_ROLE_KNOWN_RUNTIME_NOT_ASSERTED,ACD-04,G03;G06,REVIEW_TARGET_CONSUMERS,协议/重导出按目标消费者保全或移除；不要求虚构调用入口，不因 UNKNOWN 直接删,false,false,false
U-F-002,src/account/__init__.py,REACHABILITY,STRUCTURAL_ROLE_KNOWN_RUNTIME_NOT_ASSERTED,ACD-04;ACD-10,G05;G06,REVIEW_TARGET_CONSUMERS,协议/重导出按目标消费者保全或移除；不要求虚构调用入口，不因 UNKNOWN 直接删,false,false,false
U-F-003,src/account/account_service.py,REACHABILITY,OPEN,ACD-04;ACD-10,G05;G06,TARGETED_PROOF_BEFORE_CHANGE,只对拟改/拟删对象补具体构造/调用/注册/副作用；目标无必要后删除，不永久保留 UNKNOWN 实现,false,false,false
U-F-004,src/account/models.py,REACHABILITY,OPEN,ACD-04;ACD-10,G05;G06,TARGETED_PROOF_BEFORE_CHANGE,只对拟改/拟删对象补具体构造/调用/注册/副作用；目标无必要后删除，不永久保留 UNKNOWN 实现,false,false,false
U-F-005,src/actions/__init__.py,REACHABILITY,STRUCTURAL_ROLE_KNOWN_RUNTIME_NOT_ASSERTED,ACD-04,G03;G06,REVIEW_TARGET_CONSUMERS,协议/重导出按目标消费者保全或移除；不要求虚构调用入口，不因 UNKNOWN 直接删,false,false,false
U-F-006,src/agent/__init__.py,REACHABILITY,STRUCTURAL_ROLE_KNOWN_RUNTIME_NOT_ASSERTED,ACD-03;ACD-10,G03;G05,REVIEW_TARGET_CONSUMERS,协议/重导出按目标消费者保全或移除；不要求虚构调用入口，不因 UNKNOWN 直接删,false,false,false
U-F-007,src/agent_activities/__init__.py,REACHABILITY,STRUCTURAL_ROLE_KNOWN_RUNTIME_NOT_ASSERTED,ACD-01;ACD-17,G04;G12,REVIEW_TARGET_CONSUMERS,协议/重导出按目标消费者保全或移除；不要求虚构调用入口，不因 UNKNOWN 直接删,false,false,false
U-F-008,src/agent_execution/__init__.py,REACHABILITY,STRUCTURAL_ROLE_KNOWN_RUNTIME_NOT_ASSERTED,ACD-01;ACD-09;ACD-17,G03;G05;G12,REVIEW_TARGET_CONSUMERS,协议/重导出按目标消费者保全或移除；不要求虚构调用入口，不因 UNKNOWN 直接删,false,false,false
U-F-009,src/agent_execution/tracing/__init__.py,REACHABILITY,STRUCTURAL_ROLE_KNOWN_RUNTIME_NOT_ASSERTED,ACD-01;ACD-09;ACD-17,G03;G05;G12,REVIEW_TARGET_CONSUMERS,协议/重导出按目标消费者保全或移除；不要求虚构调用入口，不因 UNKNOWN 直接删,false,false,false
U-F-010,src/agent_workflows/__init__.py,REACHABILITY,STRUCTURAL_ROLE_KNOWN_RUNTIME_NOT_ASSERTED,ACD-01;ACD-17,G04;G12,REVIEW_TARGET_CONSUMERS,协议/重导出按目标消费者保全或移除；不要求虚构调用入口，不因 UNKNOWN 直接删,false,false,false
