source,target,edge_type,symbol,evidence
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py,external:__future__,FROM_IMPORT,__future__.annotations,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:8
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py,external:argparse,IMPORT,argparse,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:10
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py,external:hashlib,IMPORT,hashlib,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:11
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py,external:json,IMPORT,json,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:12
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py,external:os,IMPORT,os,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:13
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py,external:platform,IMPORT,platform,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:14
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py,external:re,IMPORT,re,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:15
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py,external:subprocess,IMPORT,subprocess,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:16
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py,external:sys,IMPORT,sys,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:17
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py,external:time,IMPORT,time,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:18
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py,external:collections,FROM_IMPORT,collections.Counter,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:19
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py,external:datetime,FROM_IMPORT,datetime.UTC,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:20
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py,external:datetime,FROM_IMPORT,datetime.datetime,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:20
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py,external:pathlib,FROM_IMPORT,pathlib.Path,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:21
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py,external:typing,FROM_IMPORT,typing.Any,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:22
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py,external:uuid,FROM_IMPORT,uuid.UUID,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:23
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py,external:uuid,FROM_IMPORT,uuid.uuid4,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:23
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py,external:httpx,IMPORT,httpx,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:25
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py,external:psycopg,IMPORT,psycopg,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:26
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py,external:yaml,IMPORT,yaml,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:27
