item_id,path,closed_symbols,resolution,evidence
U-F-022,src/file_adapters/writers.py,,full root-to-file proof now present,PROOF:src/file_adapters/writers.py
U-F-024,src/file_domain/models.py,,full root-to-file proof now present,PROOF:src/file_domain/models.py
U-F-035,src/research_domain/providers.py,,full root-to-file proof now present,PROOF:src/research_domain/providers.py
U-S-052,src/account/postgres_account_service.py,PostgresAccountService.list_all_ids,concrete binding / framework / registry evidence added,refined_runtime_edges.csv;composition_bindings.csv
U-S-058,src/channels/official_qq.py,OfficialQQChannel._clean_dedup_cache;OfficialQQChannel._fetch_token;OfficialQQChannel._get_gateway_url;OfficialQQChannel._get_token;OfficialQQChannel._handle_dispatch;OfficialQQChannel._handle_hello;OfficialQQChannel._heartbeat_loop;OfficialQQChannel._send_ws;OfficialQQChannel._token_refresh_loop;OfficialQQChannel._ws_loop;OfficialQQChannel.normalize_message;OfficialQQChannel.start_monitor;_safe_str,concrete binding / framework / registry evidence added,refined_runtime_edges.csv;composition_bindings.csv
U-S-059,src/common/logging.py,_JsonFormatter.format,concrete binding / framework / registry evidence added,refined_runtime_edges.csv;composition_bindings.csv
U-S-060,src/common/types.py,Event.from_dict;EventType;ModelResponse;ToolCall;UnifiedMessage,concrete binding / framework / registry evidence added,refined_runtime_edges.csv;composition_bindings.csv
U-S-062,src/file_domain/models.py,FileResource;SourceLocator;SourceLocator.__post_init__;TextView,concrete binding / framework / registry evidence added,refined_runtime_edges.csv;composition_bindings.csv
U-S-063,src/file_domain/persistent.py,PersistentFileRepository.create;PersistentWebFileService.save,concrete binding / framework / registry evidence added,refined_runtime_edges.csv;composition_bindings.csv
U-S-065,src/file_runtime/registry.py,FileAdapterRegistry.resolve,concrete binding / framework / registry evidence added,refined_runtime_edges.csv;composition_bindings.csv
U-S-066,src/memory/hindsight_client.py,HindsightClient._bank_id_for;HindsightClient._build_context;HindsightClient._build_tags;HindsightClient._ensure_bank;HindsightClient._headers;HindsightClient._post;HindsightClient._put;HindsightClient._request;HindsightClient.reflect;HindsightClient.retain_document;RetainReceipt,concrete binding / framework / registry evidence added,refined_runtime_edges.csv;composition_bindings.csv
U-S-067,src/orchestration/artifact_dispatcher.py,TemporalArtifactClient.start;artifact_workflow_id,concrete binding / framework / registry evidence added,refined_runtime_edges.csv;composition_bindings.csv
U-S-070,src/orchestration/web_dispatcher.py,StartDecision;TemporalClientAdapter.cancel_web_run;TemporalClientAdapter.signal_tool_approval;TemporalClientAdapter.start_research_run;TemporalClientAdapter.start_web_run;web_workflow_id,concrete binding / framework / registry evidence added,refined_runtime_edges.csv;composition_bindings.csv
U-S-071,src/orchestration/web_reconciler.py,ReconcileCandidate;ReconcileStore.candidates;ReconcileStore.finalize_cancelled;ReconcileStore.finalize_failed;ReconcileStore.record_temporal_fact;TemporalFact;TemporalInspector.cancel;TemporalInspector.describe;TemporalInspectorAdapter.cancel;TemporalInspectorAdapter.describe;WebRunReconciler.run_once,concrete binding / framework / registry evidence added,refined_runtime_edges.csv;composition_bindings.csv
U-S-073,src/orchestration/worker.py,start_worker._handle_user_reminder,concrete binding / framework / registry evidence added,refined_runtime_edges.csv;composition_bindings.csv
U-S-074,src/persistence/uow.py,UnitOfWork.__exit__,concrete binding / framework / registry evidence added,refined_runtime_edges.csv;composition_bindings.csv
U-S-075,src/research_domain/models.py,ClaimDraft;ClaimDraft.__post_init__;ResearchReport;ResearchReport.__post_init__;SourceContent;SourceStrategy.__post_init__;content_sha256;normalize_source_text,concrete binding / framework / registry evidence added,refined_runtime_edges.csv;composition_bindings.csv
U-S-077,src/research_domain/providers.py,BrowserFetchProvider.fetch_html,concrete binding / framework / registry evidence added,refined_runtime_edges.csv;composition_bindings.csv
U-S-078,src/resources/model_client.py,ModelClient._build_headers;ModelClient._build_payload;ModelClient._build_url;ModelClient._convert_messages;ModelClient._extract_xml_tool_calls;ModelClient._map_anthropic_stop_reason;ModelClient._map_openai_finish_reason;ModelClient._parse_anthropic_response;ModelClient._parse_anthropic_stream;ModelClient._parse_non_stream;ModelClient._parse_openai_response;ModelClient._parse_openai_stream;ModelClient._parse_stream;ModelClient._raw_usage;ModelClient._tools_to_anthropic;ModelClient._tools_to_openai;ModelClient.generate,concrete binding / framework / registry evidence added,refined_runtime_edges.csv;composition_bindings.csv
