drift_id,decision_ids,disposition,status
D01,ACD-01;ACD-14,HEAD 仍双路径；目标单 durable，当前文档纠事实、ADR 写目标，随实现再收口,TARGET_REVISED_NOT_IMPLEMENTED
D02,ACD-05;ACD-14;ACD-16,HEAD 容器清单补真实 Document/依赖；目标部署仍不冒称 worktree 已实现,TARGET_REVISED_NOT_IMPLEMENTED
D03,ACD-03;ACD-10;ACD-14,当前协议正式使用必须记录；未来先迁协议再删除实验目录，旧 closure 可由 Git/ADR 保存,TARGET_REVISED_NOT_IMPLEMENTED
D04,ACD-01;ACD-09;ACD-14,当前时序补 durable；目标 Web/QQ 单主线；旧稿后续移除或保留重要 ADR,TARGET_REVISED_NOT_IMPLEMENTED
D05,ACD-08,按真实渠道能力修合同；目标删除迁移开关，不扩展 Console 实现,TARGET_REVISED_NOT_IMPLEMENTED
D06,ACD-09;ACD-12,旧 Activity 当前含执行 Host；目标删 execute_agent，保留并中立化必要 lifecycle,TARGET_REVISED_NOT_IMPLEMENTED
D07,ACD-04;ACD-09,当前 SessionStore 消费链保留为事实，目标迁 PG 后删旧权威，不永久只改注释,TARGET_REVISED_NOT_IMPLEMENTED
D08,ACD-05;ACD-16,沿用 2.1 已纠正的 Document Workflow/Activity 边界,FACT_CORRECTED_IN_PHASE2_1
D09,ACD-07,沿用 2.1 两发布路径事实，统一资产合同而保留业务流程,FACT_CORRECTED_IN_PHASE2_1
D10,ACD-03;ACD-08;ACD-10,当前存在即解析 agents.yaml；目标移除非目标实验加载/配置,TARGET_REVISED_NOT_IMPLEMENTED
