entity,kind,resource,evidence,scope
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::operation_metrics,SQL_READ,postgresql:agent_operations,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:324,DIRECT_SQL_LITERAL
scripts/benchmarks/outbox/outbox_recovery_benchmark.py::seed_identity,SQL_WRITE,postgresql:accounts,scripts/benchmarks/outbox/outbox_recovery_benchmark.py:111,DIRECT_SQL_LITERAL
scripts/benchmarks/outbox/outbox_recovery_benchmark.py::seed_identity,SQL_WRITE,postgresql:identity_bindings,scripts/benchmarks/outbox/outbox_recovery_benchmark.py:113,DIRECT_SQL_LITERAL
scripts/benchmarks/outbox/outbox_recovery_benchmark.py::ensure_benchmark_database,SQL_READ,postgresql:pg_database,scripts/benchmarks/outbox/outbox_recovery_benchmark.py:80,LEXICAL_EFFECT_CANDIDATE
scripts/benchmarks/outbox/outbox_recovery_benchmark.py::reset_benchmark_data,SQL_READ,postgresql:pg_tables,scripts/benchmarks/outbox/outbox_recovery_benchmark.py:94,LEXICAL_EFFECT_CANDIDATE
scripts/benchmarks/outbox/outbox_recovery_benchmark.py::load_initial_facts,SQL_READ,postgresql:workflow_executions,scripts/benchmarks/outbox/outbox_recovery_benchmark.py:223,DIRECT_SQL_LITERAL
scripts/benchmarks/outbox/outbox_recovery_benchmark.py::load_initial_facts,SQL_READ,postgresql:runs,scripts/benchmarks/outbox/outbox_recovery_benchmark.py:223,DIRECT_SQL_LITERAL
scripts/benchmarks/outbox/outbox_recovery_benchmark.py::load_initial_facts,SQL_READ,postgresql:messages,scripts/benchmarks/outbox/outbox_recovery_benchmark.py:223,DIRECT_SQL_LITERAL
scripts/benchmarks/outbox/outbox_recovery_benchmark.py::load_initial_facts,SQL_READ,postgresql:outbox_events,scripts/benchmarks/outbox/outbox_recovery_benchmark.py:223,DIRECT_SQL_LITERAL
scripts/benchmarks/outbox/outbox_recovery_benchmark.py::terminal_count,SQL_READ,postgresql:runs,scripts/benchmarks/outbox/outbox_recovery_benchmark.py:298,DIRECT_SQL_LITERAL
scripts/benchmarks/outbox/outbox_recovery_benchmark.py::terminal_count,SQL_READ,postgresql:outbox_events,scripts/benchmarks/outbox/outbox_recovery_benchmark.py:301,DIRECT_SQL_LITERAL
scripts/benchmarks/outbox/outbox_recovery_benchmark.py::load_final_facts,SQL_READ,postgresql:workflow_executions,scripts/benchmarks/outbox/outbox_recovery_benchmark.py:342,DIRECT_SQL_LITERAL
scripts/benchmarks/outbox/outbox_recovery_benchmark.py::load_final_facts,SQL_READ,postgresql:messages,scripts/benchmarks/outbox/outbox_recovery_benchmark.py:342,DIRECT_SQL_LITERAL
scripts/benchmarks/outbox/outbox_recovery_benchmark.py::load_final_facts,SQL_READ,postgresql:runs,scripts/benchmarks/outbox/outbox_recovery_benchmark.py:342,DIRECT_SQL_LITERAL
scripts/benchmarks/outbox/outbox_recovery_benchmark.py::load_final_facts,SQL_READ,postgresql:outbox_events,scripts/benchmarks/outbox/outbox_recovery_benchmark.py:342,DIRECT_SQL_LITERAL
scripts/benchmarks/outbox/outbox_recovery_benchmark.py::load_final_facts,SQL_READ,postgresql:workflow_executions,scripts/benchmarks/outbox/outbox_recovery_benchmark.py:342,DIRECT_SQL_LITERAL
scripts/benchmarks/temporal/activity_worker_recovery_benchmark.py::reset_database,SQL_WRITE,postgresql:hpagent.accounts,scripts/benchmarks/temporal/activity_worker_recovery_benchmark.py:106,DIRECT_SQL_LITERAL
scripts/benchmarks/temporal/activity_worker_recovery_benchmark.py::create_account,SQL_WRITE,postgresql:hpagent.accounts,scripts/benchmarks/temporal/activity_worker_recovery_benchmark.py:115,DIRECT_SQL_LITERAL
scripts/benchmarks/temporal/activity_worker_recovery_benchmark.py::ensure_database,SQL_READ,postgresql:pg_database,scripts/benchmarks/temporal/activity_worker_recovery_benchmark.py:77,LEXICAL_EFFECT_CANDIDATE
scripts/benchmarks/temporal/activity_worker_recovery_benchmark.py::reset_database,SQL_READ,postgresql:pg_tables,scripts/benchmarks/temporal/activity_worker_recovery_benchmark.py:93,LEXICAL_EFFECT_CANDIDATE
scripts/benchmarks/temporal/activity_worker_recovery_benchmark.py::a3_facts,SQL_READ,postgresql:agent_operations,scripts/benchmarks/temporal/activity_worker_recovery_benchmark.py:296,DIRECT_SQL_LITERAL
scripts/benchmarks/temporal/activity_worker_recovery_benchmark.py::fake_counts,SQL_READ,postgresql:activity_attempts,scripts/benchmarks/temporal/activity_worker_recovery_benchmark.py:267,LEXICAL_EFFECT_CANDIDATE
scripts/benchmarks/temporal/activity_worker_recovery_benchmark.py::a3_facts,SQL_READ,postgresql:side_effect_counter,scripts/benchmarks/temporal/activity_worker_recovery_benchmark.py:305,LEXICAL_EFFECT_CANDIDATE
scripts/benchmarks/temporal/activity_worker_recovery_benchmark.py::fake_counts,SQL_READ,postgresql:sqlite_master,scripts/benchmarks/temporal/activity_worker_recovery_benchmark.py:274,LEXICAL_EFFECT_CANDIDATE
scripts/benchmarks/temporal/activity_worker_recovery_benchmark.py::fake_counts,SQL_READ,postgresql:idempotent_business_state,scripts/benchmarks/temporal/activity_worker_recovery_benchmark.py:279,LEXICAL_EFFECT_CANDIDATE
scripts/benchmarks/temporal/activity_worker_recovery_benchmark.py::fake_counts,SQL_READ,postgresql:effect_invocations,scripts/benchmarks/temporal/activity_worker_recovery_benchmark.py:284,LEXICAL_EFFECT_CANDIDATE
scripts/benchmarks/temporal/temporal_recovery_benchmark.py::counts,SQL_READ,postgresql:operations,scripts/benchmarks/temporal/temporal_recovery_benchmark.py:168,LEXICAL_EFFECT_CANDIDATE
scripts/benchmarks/temporal/temporal_recovery_benchmark.py::counts,SQL_READ,postgresql:attempts,scripts/benchmarks/temporal/temporal_recovery_benchmark.py:171,LEXICAL_EFFECT_CANDIDATE
scripts/benchmarks/temporal/temporal_recovery_benchmark.py::counts,SQL_READ,postgresql:side_effects,scripts/benchmarks/temporal/temporal_recovery_benchmark.py:173,LEXICAL_EFFECT_CANDIDATE
scripts/migrate_web_credentials.py::main,SQL_WRITE,postgresql:web_credentials,scripts/migrate_web_credentials.py:61,DIRECT_SQL_LITERAL
scripts/migrate_web_credentials.py::main,SQL_READ,postgresql:identity_bindings,scripts/migrate_web_credentials.py:52,DIRECT_SQL_LITERAL
scripts/observability-viewer.py::PostgresReader.recent_runs,SQL_READ,postgresql:hpagent.runs,scripts/observability-viewer.py:246,DIRECT_SQL_LITERAL
scripts/observability-viewer.py::PostgresReader.recent_runs,SQL_READ,postgresql:hpagent.messages,scripts/observability-viewer.py:246,DIRECT_SQL_LITERAL
scripts/observability-viewer.py::PostgresReader.snapshot,SQL_READ,postgresql:hpagent.runs,scripts/observability-viewer.py:275,DIRECT_SQL_LITERAL
scripts/observability-viewer.py::PostgresReader.durable_debug_snapshot,SQL_READ,postgresql:hpagent.agent_transcripts,scripts/observability-viewer.py:327,DIRECT_SQL_LITERAL
scripts/observability-viewer.py::PostgresReader.durable_debug_snapshot,SQL_READ,postgresql:hpagent.agent_operations,scripts/observability-viewer.py:339,DIRECT_SQL_LITERAL
scripts/observability-viewer.py::PostgresReader.snapshot,SQL_READ,postgresql:hpagent.messages,scripts/observability-viewer.py:281,DIRECT_SQL_LITERAL
scripts/observability-viewer.py::PostgresReader.snapshot,SQL_READ,postgresql:hpagent.sessions,scripts/observability-viewer.py:285,DIRECT_SQL_LITERAL
scripts/observability-viewer.py::PostgresReader.snapshot,SQL_READ,postgresql:hpagent.conversations,scripts/observability-viewer.py:288,DIRECT_SQL_LITERAL
scripts/observability-viewer.py::PostgresReader.snapshot,SQL_READ,postgresql:hpagent.workflow_executions,scripts/observability-viewer.py:291,DIRECT_SQL_LITERAL
scripts/observability-viewer.py::PostgresReader.snapshot,SQL_READ,postgresql:hpagent.outbox_events,scripts/observability-viewer.py:294,DIRECT_SQL_LITERAL
scripts/observability-viewer.py::PostgresReader.durable_debug_snapshot,SQL_READ,postgresql:hpagent.agent_transcript_events,scripts/observability-viewer.py:334,DIRECT_SQL_LITERAL
src/account/bootstrap.py::_insert_binding,SQL_WRITE,postgresql:identity_bindings,src/account/bootstrap.py:118,DIRECT_SQL_LITERAL
src/account/bootstrap.py::_find_active_account,SQL_READ,postgresql:identity_bindings,src/account/bootstrap.py:102,DIRECT_SQL_LITERAL
src/account/bootstrap.py::bootstrap_identity,SQL_WRITE,postgresql:accounts,src/account/bootstrap.py:85,DIRECT_SQL_LITERAL
src/account/credentials.py::PostgresPasswordCredentialAdapter.verify_with_presence,SQL_READ,postgresql:identity_bindings,src/account/credentials.py:45,DIRECT_SQL_LITERAL
src/account/credentials.py::PostgresPasswordCredentialAdapter.verify_with_presence,SQL_READ,postgresql:accounts,src/account/credentials.py:45,DIRECT_SQL_LITERAL
src/account/credentials.py::PostgresPasswordCredentialAdapter.verify_with_presence,SQL_READ,postgresql:web_credentials,src/account/credentials.py:45,DIRECT_SQL_LITERAL
src/account/identity_binding_service.py::IdentityBindingService._consume_pending_qq_challenge,SQL_WRITE,postgresql:identity_binding_challenges,src/account/identity_binding_service.py:260,DIRECT_SQL_LITERAL
src/account/identity_binding_service.py::IdentityBindingService._consolidate_empty_web_account,SQL_WRITE,postgresql:web_auth_sessions,src/account/identity_binding_service.py:328,DIRECT_SQL_LITERAL
src/account/identity_binding_service.py::IdentityBindingService._consolidate_empty_web_account,SQL_WRITE,postgresql:identity_bindings,src/account/identity_binding_service.py:333,DIRECT_SQL_LITERAL
