id,status,finding,evidence
H01,部分推翻,agent/protocol.py 的 ActionRequest/BrainDecision/ActionResult 是生产 DTO。agent/__init__.py 会在导入子模块时加载实验类，但这不等于运行 Multi-Agent；mode=multi 仍被启动代码拒绝。agents.yaml 只要存在就加载，与 mode 判断分离。,src/brain/engine.py:14;src/actions/runtime.py:16;src/agent_activities/runtime.py:18;src/agent/__init__.py:16;src/orchestration/config.py:668;src/orchestration/worker.py:803
H02,实现与数据分别确认,QQ composition 实例化 PostgresAccountService；account/__init__ 也导出 PG 实现。旧 JSON AccountService 没有当前生产构造链。merge-account.py 直接读写 accounts.json，并未调用 AccountService；不能凭存在该脚本宣称旧类是运维可达。,src/bootstrap/qq.py:60;src/account/__init__.py:4;scripts/merge-account.py:26;scripts/merge-account.py:48
H03,确认双启动路径与双注册,dispatcher 按 durable 开关选择 NEW start；Worker 始终注册 WebRunWorkflow/DurableWebRunWorkflow。AlreadyStarted 接受两个类型，避免翻转开关后丢失已存在执行。当前 YAML/Compose fallback 为 false，因此 legacy 仍接收默认新请求，不是纯历史遗留。,src/orchestration/web_dispatcher.py:197;src/orchestration/web_dispatcher.py:220;src/orchestration/web_workers.py:163;config/config.yaml:11
H04,确认仍为生产路径,harness/activities 是 QQ 和反思/指标 Activity；context_builder/prompts 被 Worker/QQ/Web context 组合使用。不存在当前 harness/runner.py，不能把保留目录整体判 legacy。,src/harness/activities.py:41;src/bootstrap/qq.py:1;src/orchestration/worker.py:774
H05,确认组合热点,worker.py 同时拥有 shared infra、QQ composition/lifecycle、条件 Web composition、channel factory、scheduler、cleanup、reflect/metrics/Research schedules 与 shutdown。文件大只是职责调查触发器。,src/orchestration/worker.py:103;src/orchestration/worker.py:598;src/orchestration/worker.py:853;src/orchestration/worker.py:1103
H06,重新统计并扩展,当前最大后端文件为 sandbox/tools/adapters/mcp.py（1545 行），超过预调查中首批热点。热点采用 LOC≥600 或高连接/注册等下钻，SQL/Repository 等不足600但重要的文件仍纳入符号事实。,src/sandbox/tools/adapters/mcp.py:1;architecture_truth_table.csv;hotspots.csv
H07,确认固定 Workflow,ResearchReportWorkflow 采用固定阶段表、最多三次迭代，不把 Research 当 Agent strategy。ResearchTaskCommandService 建 Run/Outbox；ScheduleManager 将 PG 配置投影到 Temporal Schedule。domain/persistence.py 实际含 SQL，记录边界交叉。,src/orchestration/research_workflow.py:106;src/research_domain/services.py:184;src/orchestration/research_schedule.py:56;src/research_domain/persistence.py:526
H08,确认多层分工，修正 Worker 边界,普通读写、logical file、adapter、Run scope、tenant对象、persistent revision/approval 各有不同生命周期。NormalizeDocumentWorkflow 在 Web lifecycle queue；normalize_document_activity 在独立 hpagent-document 队列，Document Worker 只注册 Activity。,src/file_runtime/routing.py:48;src/orchestration/web_workers.py:173;src/orchestration/document_workflow.py:18;src/orchestration/document_worker.py:22
H09,两条发布路径,聊天消息→ArtifactService→artifact_outbox→ArtifactBuildWorkflow→generator/build→version；Research→publish_research_artifact_activity→repository→publish_research_artifact SQL function，另经 ResearchMarkdownPublisher 输出附件。不可把所有 Artifact 都画成先走 Artifact Dispatcher。,src/web_artifacts/services.py:211;src/orchestration/artifact_dispatcher.py:29;src/orchestration/artifact_activities.py:19;src/research_domain/persistence.py:526;src/file_runtime/research_output.py:1
H10,确认真实 handler,user_reminder handler 在 start_worker 注册；scheduler.enabled 控制 load/inject/poll。提醒工具在 Sandbox 注册时不依赖 native_tools_enabled，轮询执行仍受 scheduler gate。,src/orchestration/worker.py:891;src/orchestration/worker.py:895;src/sandbox/sandbox_manager.py:150
