decision_id,title,status,action,priority,readiness,logical_owner,evidence_ids,hypothesis_ids,recommendation,rationale,alternatives,impact,gate_ids,validation_refs,rollback
ACD-01,执行架构收敛到共享能力与显式控制流,PROPOSED,KEEP_BOUNDARY,P0,DESIGN_READY,Agent execution,E01;E02;E05;E06;E09;E19,H03;H04;H07;H15,保留 QQ/legacy 的 Facade loop、Durable Web 的 Workflow 控制流、Research 固定流程；共享 Brain/Action、工具、模型、预算和事件合同。将 Durable Web 作为 Web 后续恢复/审批能力的优先演进方向，不在本次切换默认值。,三种控制流的状态恢复单位不同，强制包进一个 execute 会遮蔽 Temporal History、审批等待和 QQ 会话合同。代码证据支持共享底层能力，不足以支持 QQ 迁入 durable。,不采纳所有入口统一 Facade：会失去 durable 步骤边界；不采纳所有任务改 Agent strategy：Research 固定阶段并非自由规划。继续无限复制底层能力同样不采纳。,控制流差异保留；新增能力需明确适用入口。允许临时双 Web 路径的维护成本，限制新增第三套通用聊天 loop。,G02;G03;G04,test/test_qq_execution_compat.py;test/test_durable_agent_contract.py;test/test_research_temporal_contract.py,本次仅定义目标；后续能力抽取保持旧适配器，单项回退，不改变新启动路由。
ACD-02,按构造和生命周期拆分主 Worker 组合热点,PROPOSED,EXTRACT,P1,DESIGN_READY,Runtime composition,E03;E04;E06;E15,H05;H10;H11,先把 compose_web_workers 及 WebWorkerComposition 迁入拟建 bootstrap/web.py；再把共享依赖构造迁入 bootstrap/infrastructure.py。orchestration/worker.py 保留进程入口、启动/关闭顺序和 channels/schedules 协调。,已有 bootstrap/qq.py 和 build_web_temporal_workers 是可复用边界；1370 行不是唯一理由，构造、资源拥有权和业务适配混合才是切口。,不采纳新增 DI 框架或服务注册中心：当前显式构造足够；不采纳拆容器：共享账户锁要求同进程。,只移动装配代码；WorkerDependencies 先保留兼容入口，避免 bootstrap 反向 import worker 形成环。shared locks、pool、SandboxManager 仍各构造一次；后台任务 event_types 和 lease 身份不合并。,G02;G03,test/test_web_temporal_contract.py;test/test_web_outbox_recovery.py;test/web_api/test_research_file_composition.py;test/test_workspace_isolation.py,通过原入口 wrapper 保留调用面；按抽取提交回退，无 schema/queue 变更。
ACD-03,生产 Brain/Action 协议与实验包解耦,PROPOSED,EXTRACT,P1,DESIGN_READY,Agent contracts,E05;E06;E14,H01;H04;H15,将 ActionRequest/BrainDecision/ActionResult 定义迁入现有 common 下拟建 agent_protocol.py；生产调用方直接引用新模块，agent/protocol.py 暂作同一类型对象的重导出。实验实现继续保留且禁止生产 multi。,生产导入 agent.protocol 时会执行 agent/__init__.py 的实验重导出；独立合同能减少实际 import 耦合，同时保留实验代码访问路径。,不采纳整个 agent/ 归档或删除；不在 brain 与 actions 各复制 DTO；不在本轮顺带迁移所有 agent 类型。,需要核对类身份、序列化/反序列化与旧 import。重导出不能写成新的子类；生产新路径不再经过实验包。,G03,test/test_action_result_semantics.py;test/test_durable_agent_contract.py;test/test_qq_execution_compat.py,保留旧 import wrapper，恢复生产 import 即可回退；若外部序列化依赖 __module__，先保留原定义并另评迁移。
ACD-04,按状态对象确定权威来源,PROPOSED,KEEP_BOUNDARY,P0,DESIGN_READY,State ownership,E06;E07;E11;E15;E20,H02;H14;H17,保持 PostgreSQL Web/身份/durable/Research/file 状态，QQ Redis/WAL/归档、SQLite workspace metadata、Git workspace、tenant objects、Run scratch 和 Hindsight 的独立所有权。共享 ID 和适配接口，不合成万能 SessionStore。,同名 session/workspace 不等于同一数据实体。合并存储会触及恢复、保留期、事务与文件权限，当前没有重复权威源的充分证据。,不采纳 SQLite 或 QQ WAL 无条件迁入 PostgreSQL；不采纳让 Redis/Trace/Hindsight 决定 Web Run 终态。,声明“逻辑写入 owner”不代表新增数据库或所有 SQL 必须搬进 src/persistence。跨域写入需显式桥接及既有事务边界。,G03;G10,test/web_api/test_sse_gateway.py;test/test_workspace_isolation.py;test/test_run_file_workspace.py,边界声明无数据迁移；后续任何存储合并单独提供回填、双读校验与回退方案。
ACD-05,文件领域按规则、事务和执行分层,PROPOSED,EXTRACT,P1,CONDITIONAL,File capability,E07;E08;E16,H08;H14,保留 file_domain/file_runtime/file_adapters 的能力分层。优先将 persistent.py 中 PersistentFileRepository 与 PersistentWebFileService 分开；Repository 可落在 file_domain/persistence.py，服务迁入 file_runtime/persistent.py，值对象留在 domain。审批合同与 Temporal 信号寻址后续分离。,persistent.py 同时写 SQL 并调用 OutputPublisher；approvals.py 依赖 Workflow ID 与 CommandResult。只换包名不会切断事务/执行耦合。,不采纳全目录合并为 files；不采纳所有 Repository 汇入一个总文件；不抽象万能 FileService。,迁移前检验 file_runtime/__init__ 重导出依赖环。保留 approval+Outbox、CAS revision、operation_id、lineage 与文件对象发布恢复；跨 PG/文件系统不伪称单一原子事务。,G03;G10,test/web_persistence/test_persistent_web_files.py;test/web_persistence/test_file_action_approvals.py;test/web_persistence/test_file_lineage.py;test/test_tool_execution_approval_temporal.py,先留旧路径重导出并复用原事务实现；不改表与 operation_id，可逐段回退。
ACD-06,保留 Research 固定工作流及领域 Repository,PROPOSED,KEEP_BOUNDARY,P1,DESIGN_READY,Research,E09;E10;E11,H07,保留 research_domain / research_activities / research_adapters 的分工和固定 ResearchReportWorkflow。将 research_domain/persistence.py 明确登记为领域 Repository，而非仅因 domain 命名就搬迁全部 SQL。,固定阶段、证据/引用、daily diff 与计划调度有独立产品合同；当前分层允许领域内聚的 Repository。,不将 Research 改成 PlanAndExecute strategy；不同时运行 JSON user_reminder 与 Research Schedule 的统一新调度器。,保持 PG task 为 schedule desired state、Temporal Schedule 为执行投影；任何阶段重排都需 History 审查。,G03;G04,test/test_research_temporal_contract.py;test/test_research_schedule.py;test/web_persistence/test_research_r0_r2.py,本次保留现状；后续阶段变化保留版本分支，不能靠回退文件消除已写入的 History。
ACD-07,统一成果所有权而保留两类发布流程,PROPOSED,KEEP_WITH_BRIDGE,P1,DESIGN_READY,Artifact + Research,E10;E11;E12,H09,Artifact 负责 artifacts/artifact_versions 合同；Research 负责报告内容及引用。将 publish_research_artifact 明确登记为受控跨域发布桥，保留 SQL 事务；聊天继续异步 build，Research 继续发布已生成报告。,同为 artifact_versions 的写入者不等于业务流程重复。Research SQL 同时关联 research_reports，改为另一个异步事件会引入中间状态。,不让 Research 绕行聊天模型重新生成报告；不强推统一 Outbox。若以后新增第三种发布方，再评抽取窄 publication adapter。,稳定确定性 UUID、报告版本关联、权限和幂等性；附件仍通过 ResearchMarkdownPublisher/OutputPublisher 发布，不能和 HTML artifact 混同。,G10,test/web_persistence/test_web_artifacts.py;test/web_persistence/test_research_r0_r2.py;test/web_api/test_research_file_composition.py,当前不迁 SQL；后续桥接抽取调用原函数，保留数据库授权和原子关联后可回退调用层。
ACD-08,配置选项与已实现能力一致,PROPOSED,ALIGN_CONTRACT,P0,DESIGN_READY,Configuration + channels,E13;E14;E15,H01;H12;H16,建议 ChannelsConfig 缺省改为 napcat 与仓库 YAML 对齐，显式空列表保留为无渠道模式；显式不支持的渠道在启动前给出配置错误。single 模式不再解析实验 agents.yaml，生产 multi 继续拒绝。保留 fake executor 的 development 门禁。,console 当前被静默 skip；single 模式却依赖实验配置解析。用户能配置的能力应与工厂和启动合同一致。,不为迁就缺省值新建 Console 生产通道；不启用 Multi-Agent；保留现状只改注释不能解决配置错误。,这是有意行为变更，非纯重命名：旧 console/未知渠道配置会从告警变成启动错误；需配置迁移说明及显式空列表测试。session_worktree 的处置归 ACD-16。,G03,test/test_model_configuration.py;test/test_worker_identity_config.py;test/web_api/test_config.py;test/test_file_capability_config.py,按配置合同独立提交回退；保留原配置备份，生产 multi/fake 门禁不放开。
ACD-09,Web legacy 退役采用分阶段门禁,PROPOSED,DEFER_RETIREMENT,P0,BLOCKED_ON_EVIDENCE,Web runtime,E01;E02;E22;E23,H03,保留 legacy 新启动能力和所有现有 Workflow/Activity 注册。先验证 durable 默认切换，再停止 legacy 新启动，最后依据运行存量与保留政策评审注册退役。当前不批准删除任何 legacy 实现。,默认 durable=false；已有 frozen History 仅覆盖 legacy completed happy path。关闭 durable 开关只改变未来 Start，不中止已有 durable 或取消审批等待。,不按 legacy 文件名删除；不把单个 replay 通过当全量历史兼容证明；不以把开关改回 false 作为完整 rollback。,QQ 仍用 DefaultBrainActionLoop，即使 Web legacy 退役也不能删除共享 loop/harness。必须保留已运行 durable 所需全部子 Workflow、Activity 与队列容量。,G04;G05,test/test_web_temporal_replay.py;test/test_web_temporal_contract.py;test/test_durable_agent_contract.py;test/test_durable_agent_worker_kill.py,可将未来新 Start 切回 legacy；保留旧/新 worker definitions 继续完成存量，数据/schema 及 History 兼容另核对。
ACD-10,旧账号代码和历史 JSON 资产分别评审,PROPOSED,DEFER_RETIREMENT,P2,BLOCKED_ON_EVIDENCE,Identity,E06;E21,H02,PostgreSQL 保持生产身份 owner。account/account_service.py 与 models.py 登记退役候选；scripts/merge-account.py 登记旧 JSON 运维入口。候选保留，等外部调用及历史数据证据后逐文件决策。,未找到生产构造者只支持候选判断；merge-account.py 直接改 JSON，不证明旧类运维可达。代码退役与数据删除是两项不同操作。,不将 UNKNOWN 全删；不把旧 JSON 当成 PostgreSQL 当前权威；不自动执行账号合并脚本。,需核验外部脚本/import、备份恢复及账户绑定映射，迁移后可读性与实际保留要求。,G06,test/web_persistence/test_postgres_account_service.py;test/test_worker_identity_config.py,未来先停止引用并保留归档/备份；确认迁移可还原后才处理数据。本轮不改变数据。
