path,key,default,evidence
scripts/benchmarks/outbox/outbox_recovery_benchmark.py,TEMPORAL_HOST,'localhost:7233',scripts/benchmarks/outbox/outbox_recovery_benchmark.py:663
scripts/benchmarks/outbox/outbox_recovery_benchmark.py,TEMPORAL_NAMESPACE,'hpagent-outbox-benchmark',scripts/benchmarks/outbox/outbox_recovery_benchmark.py:666
scripts/benchmarks/outbox/outbox_recovery_benchmark.py,OUTBOX_BENCHMARK_ADMIN_DATABASE_URL,'postgresql://hpagent_migrate:hpagent_migrate@localhost:5434/postgres',scripts/benchmarks/outbox/outbox_recovery_benchmark.py:670
scripts/benchmarks/temporal/activity_worker_recovery_benchmark.py,TEMPORAL_HOST,'localhost:7233',scripts/benchmarks/temporal/activity_worker_recovery_benchmark.py:792
scripts/benchmarks/temporal/activity_worker_recovery_benchmark.py,TEMPORAL_NAMESPACE,'hpagent-activity-benchmark',scripts/benchmarks/temporal/activity_worker_recovery_benchmark.py:795
scripts/benchmarks/temporal/activity_worker_recovery_benchmark.py,ACTIVITY_BENCHMARK_ADMIN_DATABASE_URL,'postgresql://hpagent_migrate:hpagent_migrate@localhost:5434/postgres',scripts/benchmarks/temporal/activity_worker_recovery_benchmark.py:799
scripts/benchmarks/temporal/temporal_recovery_benchmark.py,TEMPORAL_HOST,'localhost:7233',scripts/benchmarks/temporal/temporal_recovery_benchmark.py:569
scripts/benchmarks/temporal/temporal_recovery_benchmark.py,TEMPORAL_NAMESPACE,'default',scripts/benchmarks/temporal/temporal_recovery_benchmark.py:570
scripts/bootstrap_identity.py,MIGRATION_DATABASE_URL,,scripts/bootstrap_identity.py:43
scripts/capture_web_workflow_history.py,TEMPORAL_HOST,,scripts/capture_web_workflow_history.py:133
scripts/migrate_web_credentials.py,MIGRATION_DATABASE_URL,,scripts/migrate_web_credentials.py:27
scripts/migrate_web_credentials.py,WEB_CREDENTIALS_JSON,'{}',scripts/migrate_web_credentials.py:32
scripts/observability-viewer.py,HPAGENT_WORKER_PASSWORD,'hpagent_worker',scripts/observability-viewer.py:782
scripts/observability-viewer.py,OBSERVABILITY_DATABASE_URL,,scripts/observability-viewer.py:779
scripts/observability-viewer.py,WORKER_DATABASE_URL,,scripts/observability-viewer.py:779
scripts/observability-viewer.py,APP_DATABASE_URL,,scripts/observability-viewer.py:779
scripts/observability-viewer.py,LOG_DIR,str(PROJECT_ROOT / '.data/logs'),scripts/observability-viewer.py:811
scripts/test-official-qq.py,QQ_OFFICIAL_APP_ID,'',scripts/test-official-qq.py:26
scripts/test-official-qq.py,QQ_OFFICIAL_CLIENT_SECRET,'',scripts/test-official-qq.py:27
scripts/test-official-qq.py,QQ_OFFICIAL_SANDBOX,'false',scripts/test-official-qq.py:28
src/channels/official_qq.py,QQ_OFFICIAL_APP_ID,'',src/channels/official_qq.py:155
src/channels/official_qq.py,QQ_OFFICIAL_CLIENT_SECRET,'',src/channels/official_qq.py:156
src/channels/official_qq.py,QQ_OFFICIAL_SANDBOX,'false',src/channels/official_qq.py:157
src/main.py,LOG_DIR,str(_project_root / '.data/logs'),src/main.py:46
src/main.py,LOG_LEVEL,'INFO',src/main.py:45
src/orchestration/config.py,TEMPORAL_HOST,,src/orchestration/config.py:717
src/orchestration/config.py,TEMPORAL_TASK_QUEUE,,src/orchestration/config.py:719
src/orchestration/config.py,WEB_REAL_AGENT_ENABLED,,src/orchestration/config.py:721
src/orchestration/config.py,WEB_REAL_AGENT_GATE_VERSION,,src/orchestration/config.py:725
src/orchestration/config.py,DURABLE_AGENT_ENABLED,,src/orchestration/config.py:727
src/orchestration/config.py,AGENT_EXECUTION_LEASE_TTL_SECONDS,,src/orchestration/config.py:731
src/orchestration/config.py,WEB_OUTBOX_LEASE_TIMEOUT_SECONDS,,src/orchestration/config.py:735
src/orchestration/config.py,WEB_OUTBOX_RECOVERY_INTERVAL_SECONDS,,src/orchestration/config.py:739
src/orchestration/config.py,HINDSIGHT_URL,,src/orchestration/config.py:743
src/orchestration/config.py,SEARXNG_URL,,src/orchestration/config.py:745
src/orchestration/config.py,WORKSPACE_ROOT,,src/orchestration/config.py:747
src/orchestration/config.py,WORKSPACE_ISOLATION_MODE,,src/orchestration/config.py:749
src/orchestration/config.py,REDIS_URL,,src/orchestration/config.py:751
src/orchestration/config.py,HPAGENT_MODELS_PATH,str(config_dir / 'models.yaml'),src/orchestration/config.py:650
src/orchestration/document_worker.py,FILE_STORE_ROOT,'/var/lib/hpagent/file-store',src/orchestration/document_worker.py:32
src/orchestration/document_worker.py,DOCUMENT_RUN_ROOT,'/var/lib/hpagent/document-runs',src/orchestration/document_worker.py:37
src/orchestration/document_worker.py,TEMPORAL_HOST,'temporal:7233',src/orchestration/document_worker.py:42
src/orchestration/document_worker.py,LOG_LEVEL,'INFO',src/orchestration/document_worker.py:51
src/orchestration/web_worker.py,LOG_DIR,str(_project_root / '.data/logs'),src/orchestration/web_worker.py:49
src/orchestration/web_worker.py,LOG_LEVEL,'INFO',src/orchestration/web_worker.py:48
src/orchestration/worker.py,QQ_BINDING_CODE_PEPPER,,src/orchestration/worker.py:71
src/orchestration/worker.py,WORKER_DATABASE_URL,,src/orchestration/worker.py:111
src/orchestration/worker.py,REDIS_URL,'',src/orchestration/worker.py:664
src/orchestration/worker.py,WORKER_DATABASE_URL,,src/orchestration/worker.py:721
src/orchestration/worker.py,WORKER_DATABASE_URL,,src/orchestration/worker.py:724
src/orchestration/worker.py,WORKER_DATABASE_URL,,src/orchestration/worker.py:812
src/orchestration/worker.py,FILE_CLEANUP_INTERVAL_SECONDS,'300',src/orchestration/worker.py:1008
src/orchestration/worker.py,HPAGENT_ENV,'development',src/orchestration/worker.py:70
src/orchestration/worker.py,FILE_DIRECT_READ_MAX_BYTES,str(1024 * 1024),src/orchestration/worker.py:198
src/orchestration/worker.py,ARTIFACT_HTML_MAX_BYTES,str(1024 * 1024),src/orchestration/worker.py:312
src/orchestration/worker.py,GOTENBERG_URL,'',src/orchestration/worker.py:743
src/orchestration/worker.py,QQ_BINDING_CHALLENGE_SECONDS,'300',src/orchestration/worker.py:992
src/research_adapters/discovery.py,GITHUB_TOKEN,,src/research_adapters/discovery.py:109
src/research_adapters/web.py,HTTPS_PROXY,,src/research_adapters/web.py:120
src/research_adapters/web.py,HTTP_PROXY,,src/research_adapters/web.py:120
src/research_adapters/web.py,NO_PROXY,,src/research_adapters/web.py:125
src/web_api/__main__.py,LOG_DIR,'.data/logs',src/web_api/__main__.py:17
src/web_api/__main__.py,LOG_LEVEL,'INFO',src/web_api/__main__.py:16
src/web_api/config.py,WEB_CURSOR_ACTIVE_KEY_ID,'v1',src/web_api/config.py:95
src/web_api/config.py,HPAGENT_ENV,'development',src/web_api/config.py:100
src/web_api/config.py,WEB_PUBLIC_ORIGIN,,src/web_api/config.py:103
src/web_api/config.py,WEB_CURSOR_KEYS_JSON,'{}',src/web_api/config.py:96
src/web_api/config.py,WEB_CREDENTIALS_JSON,'{}',src/web_api/config.py:99
src/web_api/config.py,WEB_CURSOR_SECRET,'development-cursor-secret',src/web_api/config.py:98
src/web_api/config.py,QQ_BINDING_CODE_PEPPER,,src/web_api/config.py:116
