source,target,edge_type,evidence,config_gates,confidence,detail
src/orchestration/worker.py::start_worker,src/channels/napcat.py::NapCatChannel.start_monitor,CHANNEL_FACTORY_LIFECYCLE,src/orchestration/worker.py:1064,channels.enabled=napcat,HIGH,actual selected factory class
src/orchestration/worker.py::start_worker,src/channels/official_qq.py::OfficialQQChannel.start_monitor,CHANNEL_FACTORY_LIFECYCLE,src/orchestration/worker.py:1064,channels.enabled=official_qq,HIGH,actual selected factory class
src/sandbox/tools/local/file_read.py::create_file_read_tools,src/sandbox/tools/local/file_read.py::create_file_read_tools.read_file,LITERAL_TOOL_CALLBACK,src/sandbox/tools/local/file_read.py:226,Web file tools enabled; selected tool=read_file,HIGH,tuple definitions consumed by StructuredTool.from_function
src/sandbox/tools/local/file_read.py::create_file_read_tools,src/sandbox/tools/local/file_read.py::FastTextInput,TOOL_ARGUMENT_SCHEMA,src/sandbox/tools/local/file_read.py:226,Web file tools enabled; selected tool=read_file,HIGH,
src/sandbox/tools/local/file_read.py::create_file_read_tools,src/sandbox/tools/local/file_read.py::create_file_read_tools.inspect_pdf,LITERAL_TOOL_CALLBACK,src/sandbox/tools/local/file_read.py:227,Web file tools enabled; selected tool=inspect_pdf,HIGH,tuple definitions consumed by StructuredTool.from_function
src/sandbox/tools/local/file_read.py::create_file_read_tools,src/sandbox/tools/local/file_read.py::FileInput,TOOL_ARGUMENT_SCHEMA,src/sandbox/tools/local/file_read.py:227,Web file tools enabled; selected tool=inspect_pdf,HIGH,
src/sandbox/tools/local/file_read.py::create_file_read_tools,src/sandbox/tools/local/file_read.py::create_file_read_tools.read_pdf_pages,LITERAL_TOOL_CALLBACK,src/sandbox/tools/local/file_read.py:228,Web file tools enabled; selected tool=read_pdf_pages,HIGH,tuple definitions consumed by StructuredTool.from_function
src/sandbox/tools/local/file_read.py::create_file_read_tools,src/sandbox/tools/local/file_read.py::PdfPagesInput,TOOL_ARGUMENT_SCHEMA,src/sandbox/tools/local/file_read.py:228,Web file tools enabled; selected tool=read_pdf_pages,HIGH,
src/sandbox/tools/local/file_read.py::create_file_read_tools,src/sandbox/tools/local/file_read.py::create_file_read_tools.extract_pdf_tables,LITERAL_TOOL_CALLBACK,src/sandbox/tools/local/file_read.py:229,Web file tools enabled; selected tool=extract_pdf_tables,HIGH,tuple definitions consumed by StructuredTool.from_function
src/sandbox/tools/local/file_read.py::create_file_read_tools,src/sandbox/tools/local/file_read.py::PdfTableInput,TOOL_ARGUMENT_SCHEMA,src/sandbox/tools/local/file_read.py:229,Web file tools enabled; selected tool=extract_pdf_tables,HIGH,
src/sandbox/tools/local/file_read.py::create_file_read_tools,src/sandbox/tools/local/file_read.py::create_file_read_tools.inspect_docx,LITERAL_TOOL_CALLBACK,src/sandbox/tools/local/file_read.py:230,Web file tools enabled; selected tool=inspect_docx,HIGH,tuple definitions consumed by StructuredTool.from_function
src/sandbox/tools/local/file_read.py::create_file_read_tools,src/sandbox/tools/local/file_read.py::FileInput,TOOL_ARGUMENT_SCHEMA,src/sandbox/tools/local/file_read.py:230,Web file tools enabled; selected tool=inspect_docx,HIGH,
src/sandbox/tools/local/file_read.py::create_file_read_tools,src/sandbox/tools/local/file_read.py::create_file_read_tools.read_docx_paragraphs,LITERAL_TOOL_CALLBACK,src/sandbox/tools/local/file_read.py:231,Web file tools enabled; selected tool=read_docx_paragraphs,HIGH,tuple definitions consumed by StructuredTool.from_function
src/sandbox/tools/local/file_read.py::create_file_read_tools,src/sandbox/tools/local/file_read.py::DocxParagraphsInput,TOOL_ARGUMENT_SCHEMA,src/sandbox/tools/local/file_read.py:231,Web file tools enabled; selected tool=read_docx_paragraphs,HIGH,
src/sandbox/tools/local/file_read.py::create_file_read_tools,src/sandbox/tools/local/file_read.py::create_file_read_tools.extract_docx_tables,LITERAL_TOOL_CALLBACK,src/sandbox/tools/local/file_read.py:232,Web file tools enabled; selected tool=extract_docx_tables,HIGH,tuple definitions consumed by StructuredTool.from_function
src/sandbox/tools/local/file_read.py::create_file_read_tools,src/sandbox/tools/local/file_read.py::DocxTableInput,TOOL_ARGUMENT_SCHEMA,src/sandbox/tools/local/file_read.py:232,Web file tools enabled; selected tool=extract_docx_tables,HIGH,
src/sandbox/tools/local/file_read.py::create_file_read_tools,src/sandbox/tools/local/file_read.py::create_file_read_tools.inspect_workbook,LITERAL_TOOL_CALLBACK,src/sandbox/tools/local/file_read.py:233,Web file tools enabled; selected tool=inspect_workbook,HIGH,tuple definitions consumed by StructuredTool.from_function
src/sandbox/tools/local/file_read.py::create_file_read_tools,src/sandbox/tools/local/file_read.py::FileInput,TOOL_ARGUMENT_SCHEMA,src/sandbox/tools/local/file_read.py:233,Web file tools enabled; selected tool=inspect_workbook,HIGH,
src/sandbox/tools/local/file_read.py::create_file_read_tools,src/sandbox/tools/local/file_read.py::create_file_read_tools.read_sheet_range,LITERAL_TOOL_CALLBACK,src/sandbox/tools/local/file_read.py:234,Web file tools enabled; selected tool=read_sheet_range,HIGH,tuple definitions consumed by StructuredTool.from_function
src/sandbox/tools/local/file_read.py::create_file_read_tools,src/sandbox/tools/local/file_read.py::SheetRangeInput,TOOL_ARGUMENT_SCHEMA,src/sandbox/tools/local/file_read.py:234,Web file tools enabled; selected tool=read_sheet_range,HIGH,
src/sandbox/tools/local/file_read.py::create_file_read_tools,src/sandbox/tools/local/file_read.py::create_file_read_tools.inspect_presentation,LITERAL_TOOL_CALLBACK,src/sandbox/tools/local/file_read.py:235,Web file tools enabled; selected tool=inspect_presentation,HIGH,tuple definitions consumed by StructuredTool.from_function
src/sandbox/tools/local/file_read.py::create_file_read_tools,src/sandbox/tools/local/file_read.py::FileInput,TOOL_ARGUMENT_SCHEMA,src/sandbox/tools/local/file_read.py:235,Web file tools enabled; selected tool=inspect_presentation,HIGH,
src/sandbox/tools/local/file_read.py::create_file_read_tools,src/sandbox/tools/local/file_read.py::create_file_read_tools.read_slide,LITERAL_TOOL_CALLBACK,src/sandbox/tools/local/file_read.py:236,Web file tools enabled; selected tool=read_slide,HIGH,tuple definitions consumed by StructuredTool.from_function
src/sandbox/tools/local/file_read.py::create_file_read_tools,src/sandbox/tools/local/file_read.py::SlideInput,TOOL_ARGUMENT_SCHEMA,src/sandbox/tools/local/file_read.py:236,Web file tools enabled; selected tool=read_slide,HIGH,
src/sandbox/tools/local/file_write.py::create_file_write_tools,src/sandbox/tools/local/file_write.py::create_file_write_tools.create_docx,LITERAL_TOOL_CALLBACK,src/sandbox/tools/local/file_write.py:302,Web file tools enabled; selected tool=create_docx,HIGH,tuple definitions consumed by StructuredTool.from_function
src/sandbox/tools/local/file_write.py::create_file_write_tools,src/sandbox/tools/local/file_write.py::CreateDocxInput,TOOL_ARGUMENT_SCHEMA,src/sandbox/tools/local/file_write.py:302,Web file tools enabled; selected tool=create_docx,HIGH,
src/sandbox/tools/local/file_write.py::create_file_write_tools,src/sandbox/tools/local/file_write.py::create_file_write_tools.create_workbook,LITERAL_TOOL_CALLBACK,src/sandbox/tools/local/file_write.py:303,Web file tools enabled; selected tool=create_workbook,HIGH,tuple definitions consumed by StructuredTool.from_function
src/sandbox/tools/local/file_write.py::create_file_write_tools,src/sandbox/tools/local/file_write.py::CreateWorkbookInput,TOOL_ARGUMENT_SCHEMA,src/sandbox/tools/local/file_write.py:303,Web file tools enabled; selected tool=create_workbook,HIGH,
src/sandbox/tools/local/file_write.py::create_file_write_tools,src/sandbox/tools/local/file_write.py::create_file_write_tools.create_presentation,LITERAL_TOOL_CALLBACK,src/sandbox/tools/local/file_write.py:304,Web file tools enabled; selected tool=create_presentation,HIGH,tuple definitions consumed by StructuredTool.from_function
src/sandbox/tools/local/file_write.py::create_file_write_tools,src/sandbox/tools/local/file_write.py::CreatePresentationInput,TOOL_ARGUMENT_SCHEMA,src/sandbox/tools/local/file_write.py:304,Web file tools enabled; selected tool=create_presentation,HIGH,
src/sandbox/tools/local/file_write.py::create_file_write_tools,src/sandbox/tools/local/file_write.py::create_file_write_tools.convert_file_to_pdf,LITERAL_TOOL_CALLBACK,src/sandbox/tools/local/file_write.py:305,Web file tools enabled; selected tool=convert_file_to_pdf,HIGH,tuple definitions consumed by StructuredTool.from_function
src/sandbox/tools/local/file_write.py::create_file_write_tools,src/sandbox/tools/local/file_write.py::ConvertPdfInput,TOOL_ARGUMENT_SCHEMA,src/sandbox/tools/local/file_write.py:305,Web file tools enabled; selected tool=convert_file_to_pdf,HIGH,
src/sandbox/tools/local/file_write.py::create_file_write_tools,src/sandbox/tools/local/file_write.py::create_file_write_tools.replace_docx_text,LITERAL_TOOL_CALLBACK,src/sandbox/tools/local/file_write.py:306,Web file tools enabled; selected tool=replace_docx_text,HIGH,tuple definitions consumed by StructuredTool.from_function
src/sandbox/tools/local/file_write.py::create_file_write_tools,src/sandbox/tools/local/file_write.py::ReplaceDocxTextInput,TOOL_ARGUMENT_SCHEMA,src/sandbox/tools/local/file_write.py:306,Web file tools enabled; selected tool=replace_docx_text,HIGH,
src/sandbox/tools/local/file_write.py::create_file_write_tools,src/sandbox/tools/local/file_write.py::create_file_write_tools.append_docx_section,LITERAL_TOOL_CALLBACK,src/sandbox/tools/local/file_write.py:307,Web file tools enabled; selected tool=append_docx_section,HIGH,tuple definitions consumed by StructuredTool.from_function
src/sandbox/tools/local/file_write.py::create_file_write_tools,src/sandbox/tools/local/file_write.py::AppendDocxSectionInput,TOOL_ARGUMENT_SCHEMA,src/sandbox/tools/local/file_write.py:307,Web file tools enabled; selected tool=append_docx_section,HIGH,
src/sandbox/tools/local/file_write.py::create_file_write_tools,src/sandbox/tools/local/file_write.py::create_file_write_tools.write_sheet_range,LITERAL_TOOL_CALLBACK,src/sandbox/tools/local/file_write.py:308,Web file tools enabled; selected tool=write_sheet_range,HIGH,tuple definitions consumed by StructuredTool.from_function
