proof_id,path,root,target,chain,evidence,gates,confidence
PROOF:src/account/credentials.py,src/account/credentials.py,R2,src/account/credentials.py::PostgresPasswordCredentialAdapter,DEPLOY:hpagent-api -> src/web_api/__main__.py::main -> src/web_api/app.py::create_app -> src/web_api/app.py::create_app.lifespan -> src/account/credentials.py::PostgresPasswordCredentialAdapter,src/Dockerfile.web-api:10;docker-compose.yaml:635;src/web_api/__main__.py:21;src/web_api/app.py:274;src/web_api/app.py:370,ASGI application startup;valid WebSettings / database,HIGH
PROOF:src/account/identity.py,src/account/identity.py,R2,src/account/identity.py::normalize_web_subject,DEPLOY:hpagent-api -> src/web_api/__main__.py::main -> src/web_api/app.py::create_app -> src/web_api/app.py::create_app.register -> src/account/registration_service.py::RegistrationService.register -> src/account/identity.py::normalize_web_subject,src/Dockerfile.web-api:10;docker-compose.yaml:635;src/account/registration_service.py:47;src/web_api/__main__.py:21;src/web_api/app.py:513;src/web_api/app.py:516,request POST /auth/register;valid WebSettings / database,MEDIUM
PROOF:src/account/identity_binding_service.py,src/account/identity_binding_service.py,R2,src/account/identity_binding_service.py::IdentityBindingService,DEPLOY:hpagent-api -> src/web_api/__main__.py::main -> src/web_api/app.py::create_app -> src/web_api/app.py::create_app.lifespan -> src/account/identity_binding_service.py::IdentityBindingService,src/Dockerfile.web-api:10;docker-compose.yaml:635;src/web_api/__main__.py:21;src/web_api/app.py:287;src/web_api/app.py:370,ASGI application startup;valid WebSettings / database,HIGH
PROOF:src/account/postgres_account_service.py,src/account/postgres_account_service.py,R1,src/account/postgres_account_service.py::PostgresAccountService.list_all_ids,DEPLOY:hpagent -> src/entrypoint.sh -> src/main.py::main -> src/main.py::main_async -> src/orchestration/worker.py::start_worker -> src/orchestration/worker.py::_setup_reflect_schedule -> src/account/postgres_account_service.py::PostgresAccountService.list_all_ids,src/Dockerfile:51;docker-compose.yaml:410;src/entrypoint.sh:5;src/main.py:75;src/main.py:80;src/orchestration/worker.py:1074;src/orchestration/worker.py:1295;src/orchestration/worker.py:1074,injected concrete service; request/config branch;valid config; agent.mode=single; selected channel,HIGH
PROOF:src/account/registration_service.py,src/account/registration_service.py,R2,src/account/registration_service.py::RegistrationService.register,DEPLOY:hpagent-api -> src/web_api/__main__.py::main -> src/web_api/app.py::create_app -> src/web_api/app.py::create_app.register -> src/account/registration_service.py::RegistrationService.register,src/Dockerfile.web-api:10;docker-compose.yaml:635;src/web_api/__main__.py:21;src/web_api/app.py:513;src/web_api/app.py:516,request POST /auth/register;valid WebSettings / database,MEDIUM
PROOF:src/account/validation.py,src/account/validation.py,R1,src/account/validation.py::validate_unified_account_backend,DEPLOY:hpagent -> src/entrypoint.sh -> src/main.py::main -> src/main.py::main_async -> src/orchestration/worker.py::start_worker -> src/orchestration/worker.py::init_dependencies -> src/bootstrap/qq.py::build_qq_runtime -> src/account/validation.py::validate_unified_account_backend,src/Dockerfile:51;docker-compose.yaml:410;src/bootstrap/qq.py:59;src/entrypoint.sh:5;src/main.py:75;src/main.py:80;src/orchestration/worker.py:810;src/orchestration/worker.py:855,valid config; agent.mode=single; selected channel,HIGH
PROOF:src/actions/runtime.py,src/actions/runtime.py,R1,src/actions/runtime.py::ActionRuntime,DEPLOY:hpagent -> src/entrypoint.sh -> src/main.py::main -> src/main.py::main_async -> src/orchestration/worker.py::start_worker -> src/orchestration/worker.py::init_dependencies -> src/bootstrap/qq.py::build_qq_runtime -> src/actions/runtime.py::ActionRuntime,src/Dockerfile:51;docker-compose.yaml:410;src/bootstrap/qq.py:87;src/entrypoint.sh:5;src/main.py:75;src/main.py:80;src/orchestration/worker.py:810;src/orchestration/worker.py:855,valid config; agent.mode=single; selected channel,HIGH
PROOF:src/agent/protocol.py,src/agent/protocol.py,R1,src/agent/protocol.py::ActionRequest,DEPLOY:hpagent -> src/entrypoint.sh -> src/main.py::main -> src/main.py::main_async -> src/orchestration/worker.py::start_worker -> src/orchestration/worker.py::compose_web_workers -> src/agent_activities/runtime.py::DurableAgentActivities.tool_execution -> src/agent/protocol.py::ActionRequest,src/Dockerfile:51;docker-compose.yaml:410;src/agent_activities/runtime.py:854;src/entrypoint.sh:5;src/main.py:75;src/main.py:80;src/orchestration/worker.py:347;src/orchestration/worker.py:931,config.temporal.web_real_agent_enabled;valid config; agent.mode=single; selected channel,HIGH
PROOF:src/agent_activities/persistent_overwrite.py,src/agent_activities/persistent_overwrite.py,R1,src/agent_activities/persistent_overwrite.py::PersistentOverwriteActivities,DEPLOY:hpagent -> src/entrypoint.sh -> src/main.py::main -> src/main.py::main_async -> src/orchestration/worker.py::start_worker -> src/orchestration/worker.py::compose_web_workers -> src/agent_activities/persistent_overwrite.py::PersistentOverwriteActivities,src/Dockerfile:51;docker-compose.yaml:410;src/entrypoint.sh:5;src/main.py:75;src/main.py:80;src/orchestration/worker.py:305;src/orchestration/worker.py:931,config.temporal.web_real_agent_enabled;valid config; agent.mode=single; selected channel,HIGH
PROOF:src/agent_activities/runtime.py,src/agent_activities/runtime.py,R1,src/agent_activities/runtime.py::DurableAgentActivities,DEPLOY:hpagent -> src/entrypoint.sh -> src/main.py::main -> src/main.py::main_async -> src/orchestration/worker.py::start_worker -> src/orchestration/worker.py::compose_web_workers -> src/agent_activities/runtime.py::DurableAgentActivities,src/Dockerfile:51;docker-compose.yaml:410;src/entrypoint.sh:5;src/main.py:75;src/main.py:80;src/orchestration/worker.py:293;src/orchestration/worker.py:931,config.temporal.web_real_agent_enabled;valid config; agent.mode=single; selected channel,HIGH
PROOF:src/agent_activities/side_effects.py,src/agent_activities/side_effects.py,R1,src/agent_activities/side_effects.py::normalize_side_effect_class,DEPLOY:hpagent -> src/entrypoint.sh -> src/main.py::main -> src/main.py::main_async -> src/orchestration/worker.py::start_worker -> src/orchestration/worker.py::compose_web_workers -> src/agent_activities/runtime.py::DurableAgentActivities.tool_execution -> src/agent_activities/side_effects.py::normalize_side_effect_class,src/Dockerfile:51;docker-compose.yaml:410;src/agent_activities/runtime.py:666;src/entrypoint.sh:5;src/main.py:75;src/main.py:80;src/orchestration/worker.py:347;src/orchestration/worker.py:931,config.temporal.web_real_agent_enabled;valid config; agent.mode=single; selected channel,HIGH
PROOF:src/agent_activities/store.py,src/agent_activities/store.py,R1,src/agent_activities/store.py::AgentDataStore,DEPLOY:hpagent -> src/entrypoint.sh -> src/main.py::main -> src/main.py::main_async -> src/orchestration/worker.py::start_worker -> src/orchestration/worker.py::compose_web_workers -> src/agent_activities/store.py::AgentDataStore,src/Dockerfile:51;docker-compose.yaml:410;src/entrypoint.sh:5;src/main.py:75;src/main.py:80;src/orchestration/worker.py:253;src/orchestration/worker.py:931,config.temporal.web_real_agent_enabled;valid config; agent.mode=single; selected channel,HIGH
PROOF:src/agent_execution/audit.py,src/agent_execution/audit.py,R1,src/agent_execution/audit.py::LoggingExecutionAuditSinkFactory,DEPLOY:hpagent -> src/entrypoint.sh -> src/main.py::main -> src/main.py::main_async -> src/orchestration/worker.py::start_worker -> src/orchestration/worker.py::compose_web_workers -> src/agent_execution/audit.py::LoggingExecutionAuditSinkFactory,src/Dockerfile:51;docker-compose.yaml:410;src/entrypoint.sh:5;src/main.py:75;src/main.py:80;src/orchestration/worker.py:248;src/orchestration/worker.py:931,config.temporal.web_real_agent_enabled;valid config; agent.mode=single; selected channel,HIGH
PROOF:src/agent_execution/brain_action_loop.py,src/agent_execution/brain_action_loop.py,R1,src/agent_execution/brain_action_loop.py::DefaultBrainActionLoop,DEPLOY:hpagent -> src/entrypoint.sh -> src/main.py::main -> src/main.py::main_async -> src/orchestration/worker.py::start_worker -> src/orchestration/worker.py::compose_web_workers -> src/agent_execution/brain_action_loop.py::DefaultBrainActionLoop,src/Dockerfile:51;docker-compose.yaml:410;src/entrypoint.sh:5;src/main.py:75;src/main.py:80;src/orchestration/worker.py:215;src/orchestration/worker.py:931,config.temporal.web_real_agent_enabled;valid config; agent.mode=single; selected channel,HIGH
PROOF:src/agent_execution/facade.py,src/agent_execution/facade.py,R1,src/agent_execution/facade.py::AgentExecutionFacade,DEPLOY:hpagent -> src/entrypoint.sh -> src/main.py::main -> src/main.py::main_async -> src/orchestration/worker.py::start_worker -> src/orchestration/worker.py::compose_web_workers -> src/agent_execution/facade.py::AgentExecutionFacade,src/Dockerfile:51;docker-compose.yaml:410;src/entrypoint.sh:5;src/main.py:75;src/main.py:80;src/orchestration/worker.py:214;src/orchestration/worker.py:931,config.temporal.web_real_agent_enabled;valid config; agent.mode=single; selected channel,HIGH
PROOF:src/agent_execution/model_budget_context.py,src/agent_execution/model_budget_context.py,R1,src/agent_execution/model_budget_context.py::model_budget_scope,DEPLOY:hpagent -> src/entrypoint.sh -> src/main.py::main -> src/main.py::main_async -> src/orchestration/worker.py::start_worker -> src/orchestration/worker.py::compose_web_workers -> src/agent_activities/runtime.py::DurableAgentActivities.context_bootstrap -> src/agent_execution/model_budget_context.py::model_budget_scope,src/Dockerfile:51;docker-compose.yaml:410;src/agent_activities/runtime.py:306;src/entrypoint.sh:5;src/main.py:75;src/main.py:80;src/orchestration/worker.py:345;src/orchestration/worker.py:931,config.temporal.web_real_agent_enabled;loaded.context_provider is not None;valid config; agent.mode=single; selected channel,HIGH
PROOF:src/agent_execution/qq_host.py,src/agent_execution/qq_host.py,R1,src/agent_execution/qq_host.py::QQExecutionHost.execute,DEPLOY:hpagent -> src/entrypoint.sh -> src/main.py::main -> src/main.py::main_async -> src/orchestration/worker.py::start_worker -> src/harness/activities.py::process_turn_activity -> src/agent_execution/qq_host.py::QQExecutionHost.execute,src/Dockerfile:51;docker-compose.yaml:410;src/entrypoint.sh:5;src/harness/activities.py:54;src/main.py:75;src/main.py:80;src/orchestration/worker.py:916,valid config; agent.mode=single; selected channel,HIGH
PROOF:src/agent_execution/run_budget.py,src/agent_execution/run_budget.py,R6,src/agent_execution/run_budget.py::RunBudgetService,DEPLOY:hpagent-document-worker -> src/orchestration/document_worker.py::main -> src/orchestration/document_worker.py::main_async -> src/document_activities/runtime.py::DocumentActivities -> src/document_activities/runtime.py::DocumentActivities.__init__ -> src/agent_execution/run_budget.py::RunBudgetService,src/Dockerfile.document:20;docker-compose.yaml:584;src/document_activities/runtime.py:22;src/document_activities/runtime.py:28;src/orchestration/document_worker.py:39;src/orchestration/document_worker.py:52,database / Temporal / document image; heavy-normalization request,HIGH
PROOF:src/agent_execution/tracing/context.py,src/agent_execution/tracing/context.py,R1,src/agent_execution/tracing/context.py::trace_node_id,DEPLOY:hpagent -> src/entrypoint.sh -> src/main.py::main -> src/main.py::main_async -> src/orchestration/worker.py::start_worker -> src/orchestration/worker.py::compose_web_workers -> src/agent_activities/runtime.py::DurableAgentActivities.finalize_agent_result -> src/agent_execution/tracing/context.py::trace_node_id,src/Dockerfile:51;docker-compose.yaml:410;src/agent_activities/runtime.py:1410;src/entrypoint.sh:5;src/main.py:75;src/main.py:80;src/orchestration/worker.py:324;src/orchestration/worker.py:931,config.temporal.web_real_agent_enabled;valid config; agent.mode=single; selected channel,HIGH
PROOF:src/agent_execution/tracing/instrumentation.py,src/agent_execution/tracing/instrumentation.py,R1,src/agent_execution/tracing/instrumentation.py::trace_start,DEPLOY:hpagent -> src/entrypoint.sh -> src/main.py::main -> src/main.py::main_async -> src/orchestration/worker.py::start_worker -> src/orchestration/worker.py::compose_web_workers -> src/agent_activities/runtime.py::DurableAgentActivities.finalize_agent_result -> src/agent_execution/tracing/instrumentation.py::trace_start,src/Dockerfile:51;docker-compose.yaml:410;src/agent_activities/runtime.py:1412;src/entrypoint.sh:5;src/main.py:75;src/main.py:80;src/orchestration/worker.py:324;src/orchestration/worker.py:931,config.temporal.web_real_agent_enabled;valid config; agent.mode=single; selected channel,HIGH
PROOF:src/agent_execution/tracing/lifecycle.py,src/agent_execution/tracing/lifecycle.py,R1,src/agent_execution/tracing/lifecycle.py::TraceLifecycleObserver,DEPLOY:hpagent -> src/entrypoint.sh -> src/main.py::main -> src/main.py::main_async -> src/orchestration/worker.py::start_worker -> src/orchestration/worker.py::compose_web_workers -> src/agent_execution/tracing/lifecycle.py::TraceLifecycleObserver,src/Dockerfile:51;docker-compose.yaml:410;src/entrypoint.sh:5;src/main.py:75;src/main.py:80;src/orchestration/worker.py:209;src/orchestration/worker.py:931,config.temporal.web_real_agent_enabled;valid config; agent.mode=single; selected channel,HIGH
PROOF:src/agent_execution/tracing/metadata.py,src/agent_execution/tracing/metadata.py,R6,src/agent_execution/tracing/metadata.py::sanitize_trace_run_metadata,DEPLOY:hpagent-document-worker -> src/orchestration/document_worker.py::main -> src/orchestration/document_worker.py::main_async -> src/orchestration/document_worker.py::build_document_worker -> src/document_activities/runtime.py::DocumentActivities.normalize_document -> src/agent_execution/tracing/repository.py::PostgresTraceRepository.finish_event -> src/agent_execution/tracing/metadata.py::sanitize_trace_run_metadata,src/Dockerfile.document:20;docker-compose.yaml:584;src/agent_execution/tracing/repository.py:137;src/document_activities/runtime.py:181;src/orchestration/document_worker.py:24;src/orchestration/document_worker.py:43;src/orchestration/document_worker.py:52,database / Temporal / document image; heavy-normalization request;row['parent_event_id'] is None,MEDIUM
PROOF:src/agent_execution/tracing/models.py,src/agent_execution/tracing/models.py,R2,src/agent_execution/tracing/models.py::TraceTree,DEPLOY:hpagent-api -> src/web_api/__main__.py::main -> src/web_api/app.py::create_app -> src/web_api/app.py::create_app.get_run_trace -> src/agent_execution/tracing/repository.py::PostgresTraceRepository.get_trace_tree -> src/agent_execution/tracing/models.py::TraceTree,src/Dockerfile.web-api:10;docker-compose.yaml:635;src/agent_execution/tracing/repository.py:163;src/web_api/__main__.py:21;src/web_api/app.py:977;src/web_api/app.py:983,request GET /api/v1/runs/{run_id}/trace;valid WebSettings / database,MEDIUM
PROOF:src/agent_execution/tracing/repository.py,src/agent_execution/tracing/repository.py,R2,src/agent_execution/tracing/repository.py::PostgresTraceRepository,DEPLOY:hpagent-api -> src/web_api/__main__.py::main -> src/web_api/app.py::create_app -> src/web_api/app.py::create_app.lifespan -> src/agent_execution/tracing/repository.py::PostgresTraceRepository,src/Dockerfile.web-api:10;docker-compose.yaml:635;src/web_api/__main__.py:21;src/web_api/app.py:321;src/web_api/app.py:370,ASGI application startup;valid WebSettings / database,HIGH
PROOF:src/agent_execution/tracing/sink.py,src/agent_execution/tracing/sink.py,R1,src/agent_execution/tracing/sink.py::TracingWebEventSinkFactory,DEPLOY:hpagent -> src/entrypoint.sh -> src/main.py::main -> src/main.py::main_async -> src/orchestration/worker.py::start_worker -> src/orchestration/worker.py::compose_web_workers -> src/agent_execution/tracing/sink.py::TracingWebEventSinkFactory,src/Dockerfile:51;docker-compose.yaml:410;src/entrypoint.sh:5;src/main.py:75;src/main.py:80;src/orchestration/worker.py:203;src/orchestration/worker.py:931,config.temporal.web_real_agent_enabled;valid config; agent.mode=single; selected channel,HIGH
PROOF:src/agent_execution/web_adapters.py,src/agent_execution/web_adapters.py,R1,src/agent_execution/web_adapters.py::PostgresWebRequestLoader,DEPLOY:hpagent -> src/entrypoint.sh -> src/main.py::main -> src/main.py::main_async -> src/orchestration/worker.py::start_worker -> src/orchestration/worker.py::compose_web_workers -> src/agent_execution/web_adapters.py::PostgresWebRequestLoader,src/Dockerfile:51;docker-compose.yaml:410;src/entrypoint.sh:5;src/main.py:75;src/main.py:80;src/orchestration/worker.py:241;src/orchestration/worker.py:931,config.temporal.web_real_agent_enabled;valid config; agent.mode=single; selected channel,HIGH
PROOF:src/agent_execution/web_events.py,src/agent_execution/web_events.py,R2,src/agent_execution/web_events.py::RedisWebRunEventSinkFactory,DEPLOY:hpagent-api -> src/web_api/__main__.py::main -> src/web_api/app.py::create_app -> src/web_api/app.py::create_app.lifespan -> src/web_api/fake_executor.py::FakeRunExecutor -> src/web_api/fake_executor.py::FakeRunExecutor.__init__ -> src/agent_execution/web_events.py::RedisWebRunEventSinkFactory,src/Dockerfile.web-api:10;docker-compose.yaml:635;src/web_api/__main__.py:21;src/web_api/app.py:349;src/web_api/app.py:370;src/web_api/fake_executor.py:19;src/web_api/fake_executor.py:41,ASGI application startup;settings.fake_executor_enabled;valid WebSettings / database,HIGH
PROOF:src/agent_execution/web_host.py,src/agent_execution/web_host.py,R1,src/agent_execution/web_host.py::WebExecutionHost,DEPLOY:hpagent -> src/entrypoint.sh -> src/main.py::main -> src/main.py::main_async -> src/orchestration/worker.py::start_worker -> src/orchestration/worker.py::compose_web_workers -> src/agent_execution/web_host.py::WebExecutionHost,src/Dockerfile:51;docker-compose.yaml:410;src/entrypoint.sh:5;src/main.py:75;src/main.py:80;src/orchestration/worker.py:242;src/orchestration/worker.py:931,config.temporal.web_real_agent_enabled;valid config; agent.mode=single; selected channel,HIGH
PROOF:src/agent_workflows/agent_run.py,src/agent_workflows/agent_run.py,R1,src/agent_workflows/agent_run.py::AgentRunWorkflow,DEPLOY:hpagent -> src/entrypoint.sh -> src/main.py::main -> src/main.py::main_async -> src/orchestration/worker.py::start_worker -> ROOT:WEB_AGENT -> src/agent_workflows/agent_run.py::AgentRunWorkflow,src/Dockerfile:51;docker-compose.yaml:410;src/entrypoint.sh:5;src/main.py:75;src/main.py:80;src/orchestration/web_workers.py:184;src/orchestration/worker.py:930,WEB_REAL_AGENT_ENABLED;WEB_REAL_AGENT_ENABLED; definitions independent of durable start flag;valid config; agent.mode=single; selected channel,HIGH
