source,target,edge_type,evidence,config_gates,confidence,detail
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::HpAgentClient,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::HpAgentClient.__init__,INITIALIZER,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:255,,HIGH,
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::default_branch,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::git,CALL,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:106,,HIGH,git
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::preserve_interrupted_workspace,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::git,CALL,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:126,,HIGH,git
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::preserve_interrupted_workspace,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::git,CALL,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:135,,HIGH,git
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::preserve_interrupted_workspace,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::git,CALL,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:158,,HIGH,git
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::preserve_interrupted_workspace,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::git,CALL,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:159,,HIGH,git
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::prepare_session_branch,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::preserve_interrupted_workspace,CALL,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:169,,HIGH,preserve_interrupted_workspace
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::prepare_session_branch,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::default_branch,CALL,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:170,,HIGH,default_branch
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::prepare_session_branch,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::git,CALL,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:171,,HIGH,git
scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::finalize_session_branch,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py::git,CALL,scripts/benchmarks/agent_strategy/agent_strategy_benchmark.py:183,,HIGH,git
